conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,z_per_set_stats_points,z_per_set_stats_kills,z_per_set_stats_assists,z_per_set_stats_blocks,z_per_set_stats_aces,z_per_set_stats_digs,z_attack_stats_errors,z_serve_stats_errors,composite_score,rank,rating
pac,Presidents Athletic Conference (PAC),2025-26,wvball,Allegheny,"Fatola, Skyler",0,,11,102,39,0.226,567.0,104.0,232.0,1.0,2.0,41.0,0.0,5.0,14.0,54.0,0.0,0.0,6.0,2.0,45.0,77.0,6.0,54.0,23.0,287.0,0.0,2.27,0.01,0.44,0.75,0.05,2.81,1.7315472751333794,1.6202041820500757,-0.38550661365251815,2.128955146689886,-0.44111793740622957,-0.5585342658918727,1.861365552030068,0.2956156570325747,3.1429688083821405,25,81
pac,Presidents Athletic Conference (PAC),2025-26,wvball,Franciscan,"Cadman, Mary Jean",0,,1,90,27,0.21,715.0,90.0,240.0,8.0,2.0,82.0,0.0,7.0,3.0,231.0,0.0,0.0,139.0,10.0,189.0,18.0,2.0,15.0,3.0,257.5,1.0,2.67,0.09,2.1,0.2,0.08,2.86,1.7781857714424283,2.0399069225678366,-0.33487262182251015,0.078393407652118,-0.24074830435296812,0.7539415928899442,1.5157421575704806,-0.5314655399259549,3.0905686391890494,26,81
pac,Presidents Athletic Conference (PAC),2025-26,wvball,W&J,"Oldham, Abby",0,,19,100,43,0.283,508.0,50.0,194.0,3.0,1.0,42.0,0.0,0.0,7.0,113.0,0.0,0.0,10.0,0.0,29.0,91.0,5.0,67.0,24.0,251.5,1.0,1.94,0.03,0.29,0.91,0.0,2.52,1.4610439965408948,1.2739494211229228,-0.37284811569501614,2.725482198046327,-0.775067325828332,-0.677131482046856,0.5282467448288019,-0.2307087410319441,3.0573474873397735,27,80
pac,Presidents Athletic Conference (PAC),2025-26,wvball,Waynesburg,"Zadrozny, Kristina",0,,16,90,40,0.164,776.0,117.0,244.0,11.0,12.0,161.0,0.0,6.0,12.0,75.0,0.0,0.0,211.0,27.0,129.0,22.0,7.0,13.0,9.0,265.5,1.0,2.71,0.12,1.43,0.24,0.07,2.95,1.862135064798717,2.081877196619613,-0.31588487488625716,0.22752517049122828,-0.3075381820373886,0.22420736073101807,2.182301561171114,0.1452372575855693,2.9339210117832866,28,80
pac,Presidents Athletic Conference (PAC),2025-26,wvball,Westminster,"Rambo, Shelby",0,,13,99,35,0.248,472.0,72.0,189.0,11.0,1.0,51.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,45.0,76.0,0.0,57.0,19.0,236.5,2.0,1.91,0.11,0.45,0.77,0.0,2.39,1.3397839061373673,1.2424717155840908,-0.32221412386500814,2.203521028109441,-0.775067325828332,-0.5506277848148737,1.0713692218367252,-0.6818439393729602,2.6484199913752553,29,80
pac,Presidents Athletic Conference (PAC),2025-26,wvball,Allegheny,"Kirk, Sydney",0,,17,74,32,0.246,398.0,54.0,152.0,2.0,1.0,28.0,0.0,8.0,11.0,135.0,0.0,0.0,2.0,1.0,45.0,37.0,3.0,30.0,7.0,182.0,0.0,2.05,0.03,0.61,0.5,0.11,2.46,1.4050778009700358,1.389367674765307,-0.37284811569501614,1.1968816289454458,-0.04037867129970663,-0.4241240875828914,0.6269962861029698,0.07004805786206662,2.6367173324155884,30,79
pac,Presidents Athletic Conference (PAC),2025-26,wvball,W&J,"Dagen, Cali",0,,14,90,21,0.144,717.0,126.0,229.0,5.0,7.0,45.0,0.0,9.0,1.0,78.0,0.0,0.0,185.0,22.0,93.0,19.0,2.0,19.0,0.0,247.5,0.0,2.54,0.06,1.03,0.21,0.1,2.75,1.6755810795625206,1.9035035318995646,-0.35386036875876314,0.11567634836189553,-0.10716854898412709,-0.09205188234893771,2.4044880290379913,-0.6818439393729602,2.5653122559566746,31,79
pac,Presidents Athletic Conference (PAC),2025-26,wvball,Hiram,"Tomblin, Morgan",0,,4,18,4,0.198,126.0,22.0,47.0,0.0,0.0,6.0,0.0,0.0,3.0,7.0,0.0,0.0,6.0,2.0,16.0,2.0,0.0,2.0,0.0,48.0,0.0,2.61,0.0,0.89,0.11,0.0,2.67,1.600959485468042,1.9769515114901726,-0.3918358626312692,-0.25715305873588035,-0.775067325828332,-0.2027426174269223,-0.16300004409037325,-0.5314655399259549,2.543876625836085,32,79
pac,Presidents Athletic Conference (PAC),2025-26,wvball,Bethany,"Thomas, Ashton",0,,23,72,31,0.201,334.0,63.0,130.0,7.0,4.0,39.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,25.0,54.0,2.0,31.0,23.0,168.5,0.0,1.81,0.1,0.35,0.75,0.0,2.34,1.293145409828318,1.1375460304546505,-0.3285433728437592,2.128955146689886,-0.775067325828332,-0.6296925955848627,0.8491827539698474,-0.7570331390964629,2.508950467718854,33,78
pac,Presidents Athletic Conference (PAC),2025-26,wvball,Chatham,"Balint, Maren",0,,20,33,1,0.219,224.0,33.0,82.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,21.0,7.0,5.0,7.0,0.0,85.5,0.0,2.48,0.0,0.64,0.21,0.0,2.59,1.5263378913735632,1.8405481208219003,-0.3918358626312692,0.11567634836189553,-0.775067325828332,-0.4004046443518947,0.10856119441358841,-0.7570331390964629,2.465376028240892,34,78
pac,Presidents Athletic Conference (PAC),2025-26,wvball,W&J,"Jacobs, Lola",0,,23,83,34,0.225,422.0,55.0,150.0,3.0,3.0,47.0,0.0,12.0,24.0,179.0,0.0,0.0,9.0,0.0,50.0,48.0,6.0,42.0,6.0,189.0,2.0,1.81,0.04,0.6,0.58,0.14,2.28,1.237179214257459,1.1375460304546505,-0.36651886671626516,1.4951451546236663,0.15999096175355496,-0.4320305686598903,0.6516836714215117,1.0475076542676016,2.39577853872864,35,78
