rank,conference_code,conference,season,team,player_name,class_year,position,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
68,arc,American Rivers Conference (ARC),2025-26,Univ. of Dubuque,"Kennedy,Nick",0,G,27,16.74074074074074,2.74,1.19,1.19,0.67,0.26,0.6296296296296297,-3.0877567371310595,-1.276673859008559,-1.2157922386341053,-0.3798811256241186,-0.2112002252803604,-0.16473681488582906,-0.9631635699373876
69,arc,American Rivers Conference (ARC),2025-26,Simpson,"Mertes,Jachin",0,G,24,12.041666666666666,3.04,2.71,0.17,0.17,0.33,0.3333333333333333,-3.1919017078021903,-1.209377378817943,-0.4912645363255029,-1.3635193358680613,-1.2645346821710473,0.017098431884357543,-1.4361498568906688
70,arc,American Rivers Conference (ARC),2025-26,Univ. of Dubuque,"Apiagyei,Andrew",0,G,25,11.16,4.04,1.52,0.72,0.36,0.12,0.68,-3.284378035041571,-0.9850557781825564,-1.0584934611592114,-0.8331261832855431,-0.8642675885525863,-0.5284073084262023,-0.8827559011553298
71,arc,American Rivers Conference (ARC),2025-26,Simpson,"Gipple,Seth",0,F,24,12.708333333333334,4.33,1.67,0.21,0.08,0.08,0.3333333333333333,-3.3526666802334346,-0.9200025139982944,-0.9869940168524415,-1.3249452884075146,-1.454134884411371,-0.6323131637234517,-1.4361498568906688
72,arc,American Rivers Conference (ARC),2025-26,Buena Vista,"Hayes,Ned",0,G,25,12.56,3.72,1.24,0.68,0.32,0.16,0.68,-3.53855208385845,-1.05683869038588,-1.191959090531849,-0.8717002307460898,-0.9485343451038412,-0.42450145312895277,-0.8827559011553298
73,arc,American Rivers Conference (ARC),2025-26,Luther,"Yarisci,Yigit",0,F,25,13.76,2.48,3.44,0.6,0.28,0.16,0.88,-3.712358331559868,-1.3349974751737594,-0.14330057403255558,-0.9488483256671835,-1.0328011016550962,-0.42450145312895277,-0.5634901574618651
74,arc,American Rivers Conference (ARC),2025-26,Wartburg,"Matson,Mason",0,,25,11.2,4.16,0.88,0.76,0.24,0.04,0.84,-3.851720090750865,-0.95813718610631,-1.3635577568680968,-0.7945521358249963,-1.1170678582063511,-0.7362190190207013,-0.6273433062005581
75,arc,American Rivers Conference (ARC),2025-26,Luther,"Smith,Clint",0,G,25,12.92,3.28,1.64,0.44,0.28,0.0,0.68,-4.014445551249377,-1.1555401946654504,-1.0012939057137953,-1.1031445155093706,-1.0328011016550962,-0.8401248743179507,-0.8827559011553298
76,arc,American Rivers Conference (ARC),2025-26,Luther,"Poloronis,Owen",0,G,22,11.272727272727272,3.64,1.55,0.41,0.09,0.09,0.7272727272727273,-4.046824849633936,-1.074784418436711,-1.0441935722978573,-1.1320750511047806,-1.433068195273557,-0.6063366998991394,-0.8072930890096018
77,arc,American Rivers Conference (ARC),2025-26,Coe,"Foote,Aaron",0,F,24,11.666666666666666,1.79,2.67,0.29,0.13,0.0,0.3333333333333333,-4.155791804037554,-1.489779379612176,-0.5103310548073082,-1.247797193486421,-1.3488014387223022,-0.8401248743179507,-1.4361498568906688
78,arc,American Rivers Conference (ARC),2025-26,Loras,"Mosele,Connor",0,G,10,10.4,1.2,0.8,1.1,0.3,0.0,0.4,-4.403726661331312,-1.6221291239870541,-1.4016907938317071,-0.4666727324103487,-0.9906677233794687,-0.8401248743179507,-1.3297279423261803
79,arc,American Rivers Conference (ARC),2025-26,Buena Vista,"Bierle,Shane",0,G,24,11.083333333333334,1.04,1.71,0.88,0.21,0.0,0.7083333333333334,-4.80894653444376,-1.658020580088716,-0.9679274983706361,-0.678829993443356,-1.1802679256197923,-0.8401248743179507,-0.8375265874654223
