season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,goal_stats,penalty_stats,misc_stats,shot_stats
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Andrew Beaudoin,Andrew,Beaudoin,,192,Andrew Beaudoin,"BEAUDOIN,ANDREW",BEAUDOINANDREWDUBUQUE,18,8,,,Dubuque,DUBUQUE,0,0,0,0,0,1,0,4,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,19,3,485:00,56,0,1.000,,29,43,0,20,8,12,.674,1.11,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Aydan Rathsabandith,Aydan,Rathsabandith,,192,Aydan Rathsabandith,"RATHSABANDITH,AYDAN",RATHSABANDITHAYDANDUBUQUE,17,3,,,Dubuque,DUBUQUE,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,1,180:00,0,0,1.000,,8,21,0,8,4,4,.381,0.47,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Peter Schiess,Peter,Schiess,,192,Peter Schiess,"SCHIESS,PETER",SCHIESSPETERDUBUQUE,17,12,,,Dubuque,DUBUQUE,0,0,0,0,0,0,1,6,0,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,23,0,21,5,719:00,49,0,1.000,,42,67,0,35,11,24,.627,2.06,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Kaden Gunnare,Kaden,Gunnare,,192,Kaden Gunnare,"GUNNARE,KADEN",GUNNAREKADENDUBUQUE,17,0,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,49,37,30,0,3,0,00:00,0,86,1.000,,2,2,0,1,0,1,1.000,0.06,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Quintten Rangel,Quintten,Rangel,,192,Quintten Rangel,"RANGEL,QUINTTEN",RANGELQUINTTENDUBUQUE,4,0,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,00:00,0,0,1.000,,2,2,0,1,0,1,1.000,0.25,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Hayden Polakowski,Hayden,Polakowski,,192,Hayden Polakowski,"POLAKOWSKI,HAYDEN",POLAKOWSKIHAYDENDUBUQUE,18,18,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,40,0,16,19,1064:00,132,0,1.000,,2,3,0,1,0,1,.667,0.06,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Nolan Dimitri,Nolan,Dimitri,,192,Nolan Dimitri,"DIMITRI,NOLAN",DIMITRINOLANDUBUQUE,18,4,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,10,2,240:00,0,0,1.000,,16,28,0,7,1,6,.571,0.39,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Tommy Shelby,Tommy,Shelby,,192,Tommy Shelby,"SHELBY,TOMMY",SHELBYTOMMYDUBUQUE,7,0,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,4,00:00,0,0,1.000,,7,12,0,4,3,1,.583,0.57,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Tyler Johnson,Tyler,Johnson,,192,Tyler Johnson,"JOHNSON,TYLER",JOHNSONTYLERDUBUQUE,2,1,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,58:00,45,0,1.000,,6,7,0,2,0,2,.857,1.00,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Cambell Smith,Cambell,Smith,,192,Cambell Smith,"SMITH,CAMBELL",SMITHCAMBELLDUBUQUE,17,11,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,8,0,659:00,49,0,1.000,,38,83,0,27,7,20,.458,1.59,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,John Davis,John,Davis,,192,John Davis,"DAVIS,JOHN",DAVISJOHNDUBUQUE,7,0,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,00:00,0,0,1.000,,1,2,0,0,0,0,.500,0.00,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Nate Richardson,Nate,Richardson,,192,Nate Richardson,"RICHARDSON,NATE",RICHARDSONNATEDUBUQUE,17,1,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,12,3,60:00,0,0,1.000,,14,26,0,8,2,6,.538,0.47,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Cale Baumgartner,Cale,Baumgartner,,192,Cale Baumgartner,"BAUMGARTNER,CALE",BAUMGARTNERCALEDUBUQUE,18,0,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,8,15,00:00,0,0,1.000,,2,5,0,1,0,1,.400,0.06,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,McCormick Flaada,McCormick,Flaada,,192,McCormick Flaada,"FLAADA,MCCORMICK",FLAADAMCCORMICKDUBUQUE,4,0,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,John Lewis,John,Lewis,,192,John Lewis,"LEWIS,JOHN",LEWISJOHNDUBUQUE,18,2,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,202,151,100,0,11,4,107:00,38,353,1.000,,1,3,0,3,3,0,.333,0.17,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Parker Hahne,Parker,Hahne,,192,Parker Hahne,"HAHNE,PARKER",HAHNEPARKERDUBUQUE,18,1,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,21,0,8,15,47:00,38,0,1.000,,2,2,0,1,0,1,1.000,0.06,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Chris Wilson,Chris,Wilson,,192,Chris Wilson,"WILSON,CHRIS",WILSONCHRISDUBUQUE,0,0,,,Dubuque,DUBUQUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Ethan Smith,Ethan,Smith,,192,Ethan Smith,"SMITH,ETHAN",SMITHETHANDUBUQUE,18,18,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,4,0,0,0,0,74,0,18,37,1064:00,132,0,1.000,,2,6,0,5,4,1,.333,0.28,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Jake Sparber,Jake,Sparber,,192,Jake Sparber,"SPARBER,JAKE",SPARBERJAKEDUBUQUE,18,18,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,25,0,11,17,1064:00,132,0,1.000,,0,2,0,1,1,0,.000,0.06,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Matthew Wright,Matthew,Wright,,192,Matthew Wright,"WRIGHT,MATTHEW",WRIGHTMATTHEWDUBUQUE,7,0,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,6,00:00,0,0,1.000,,0,1,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Brendan Yamanaka,Brendan,Yamanaka,,192,Brendan Yamanaka,"YAMANAKA,BRENDAN",YAMANAKABRENDANDUBUQUE,18,0,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,13,0,7,1,00:00,0,0,1.000,,3,4,0,2,0,2,.750,0.11,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Sebastian Lopez-Mora,Sebastian,Lopez-Mora,,192,Sebastian Lopez-Mora,"LOPEZ-MORA,SEBASTIAN",LOPEZ-MORASEBASTIANDUBUQUE,9,0,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,00:00,0,0,1.000,,0,0,0,1,1,0,.000,0.11,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Eric Brostek,Eric,Brostek,,192,Eric Brostek,"BROSTEK,ERIC",BROSTEKERICDUBUQUE,16,1,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,49,0,9,12,47:00,38,0,1.000,,6,9,0,9,5,4,.667,0.56,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Sam Todd,Sam,Todd,,192,Sam Todd,"TODD,SAM",TODDSAMDUBUQUE,16,15,,,Dubuque,DUBUQUE,0,0,0,0,0,1,2,17,0,4,2,0,0,0,0,0,0,0,1,3,0,0,0,0,25,0,40,5,884:00,132,0,1.000,,81,125,0,73,35,38,.648,4.56,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Carson Bellin,Carson,Bellin,,192,Carson Bellin,"BELLIN,CARSON",BELLINCARSONDUBUQUE,5,0,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,00:00,0,0,1.000,,8,13,0,1,0,1,.615,0.20,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Giovanni Silva,Giovanni,Silva,,192,Giovanni Silva,"SILVA,GIOVANNI",SILVAGIOVANNIDUBUQUE,18,18,,,Dubuque,DUBUQUE,0,0,0,0,0,0,1,15,0,1,3,0,0,0,0,0,0,0,1,2,0,0,0,0,23,0,45,4,1064:00,132,0,1.000,,64,105,0,56,23,33,.610,3.11,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Josh Berman,Josh,Berman,,192,Josh Berman,"BERMAN,JOSH",BERMANJOSHDUBUQUE,1,0,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Andrew Robinson,Andrew,Robinson,,192,Andrew Robinson,"ROBINSON,ANDREW",ROBINSONANDREWDUBUQUE,8,0,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,4,0,0,0,00:00,0,27,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Erik Ramirez,Erik,Ramirez,,192,Erik Ramirez,"RAMIREZ,ERIK",RAMIREZERIKDUBUQUE,0,0,,,Dubuque,DUBUQUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Logan Ehle,Logan,Ehle,,192,Logan Ehle,"EHLE,LOGAN",EHLELOGANDUBUQUE,14,0,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,5,00:00,0,0,1.000,,1,1,0,0,0,0,1.000,0.00,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Nolan Nagy,Nolan,Nagy,,192,Nolan Nagy,"NAGY,NOLAN",NAGYNOLANDUBUQUE,17,17,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,13,2,974:00,132,0,1.000,,0,0,0,0,0,0,.000,0.00,17,896:44,166,173,0,10,8,0,2,0,0,573,11.11,.510,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Alex Smith,Alex,Smith,,192,Alex Smith,"SMITH,ALEX",SMITHALEXDUBUQUE,14,0,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,4,2,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Caleb Cuff,Caleb,Cuff,,192,Caleb Cuff,"CUFF,CALEB",CUFFCALEBDUBUQUE,6,1,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,7,0,90:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,6,169:28,21,31,0,2,0,0,0,0,0,102,7.44,.596,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Gavin Flattery,Gavin,Flattery,,192,Gavin Flattery,"FLATTERY,GAVIN",FLATTERYGAVINDUBUQUE,4,0,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Ethan Sinaberg,Ethan,Sinaberg,,192,Ethan Sinaberg,"SINABERG,ETHAN",SINABERGETHANDUBUQUE,5,0,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Chris Phillippe,Chris,Phillippe,,192,Chris Phillippe,"PHILLIPPE,CHRIS",PHILLIPPECHRISDUBUQUE,6,0,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,3,00:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,Kent Caballero,Kent,Caballero,,192,Kent Caballero,"CABALLERO,KENT",CABALLEROKENTDUBUQUE,10,0,,,Dubuque,DUBUQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,1,00:00,0,0,1.000,,2,2,0,2,1,1,1.000,0.20,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Dubuque,"Lopez-Morales, Sebas",Sebas,Lopez-Morales,,192,"Lopez-Morales, Sebas","LOPEZ-MORALES,SEBAS",LOPEZ-MORALESSEBASDUBUQUE,0,0,,,Dubuque,DUBUQUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Edgewood,"Thomas,Zach",Zach,Thomas,,1066,"Thomas,Zach","THOMAS,ZACH",THOMASZACHEDGEWOOD,5,4,,,Edgewood,EDGEWOOD,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,8,0,5,2,235:00,56,1,1.000,,14,20,0,11,5,6,.700,2.20,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Edgewood,"Rewey,Lake",Lake,Rewey,,1066,"Rewey,Lake","REWEY,LAKE",REWEYLAKEEDGEWOOD,16,15,,,Edgewood,EDGEWOOD,0,0,0,0,0,0,1,12,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,43,0,34,6,895:00,56,1,1.000,,74,120,0,40,11,29,.617,2.50,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Edgewood,"Tolbert,Ryan",Ryan,Tolbert,,1066,"Tolbert,Ryan","TOLBERT,RYAN",TOLBERTRYANEDGEWOOD,16,0,,,Edgewood,EDGEWOOD,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,5,0,11,2,00:00,0,0,1.000,,12,16,0,6,1,5,.750,0.38,,,,,,,,,,,,,,,,,,
