season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game
2026-27,wsoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Webster,"Jantzen, Kayla",Kayla,Jantzen,,759,"Jantzen, Kayla","JANTZEN,KAYLA",Webster,WEBS,1259-2311,0,0,00,0,00,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Webster,"Adkins, Leia",Leia,Adkins,,759,"Adkins, Leia","ADKINS,LEIA",Webster,WEBS,1259-2305,1,1,1,0,1,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,90:00,0,.00,.00,,6,0,0,1,1,1.000,0.00,5,0,90:00,1,1,.00,1.000,1.000,5.00
2026-27,wsoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Webster,"Barnett, Tegan",Tegan,Barnett,,759,"Barnett, Tegan","BARNETT,TEGAN",Webster,WEBS,1259-2460,0,0,99,0,99,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Webster,"Seiter, Elliana",Elliana,Seiter,,759,"Seiter, Elliana","SEITER,ELLIANA",Webster,WEBS,1259-2211,0,0,2,0,2,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Webster,"Elfrink, Lucy",Lucy,Elfrink,,759,"Elfrink, Lucy","ELFRINK,LUCY",Webster,WEBS,1259-2212,1,1,3,0,3,0,0,1,2,0,0,0,0,0,2.00,1.00,.00,.000,.000,1,0,0,0,0,0,0,.000,1,0,0,0,1.00,.00,.00,.00,0,,61:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Webster,"Zaharin, Yasmine",Yasmine,Zaharin,,759,"Zaharin, Yasmine","ZAHARIN,YASMINE",Webster,WEBS,1259-2451,1,1,4,0,4,0,0,1,1,0,0,0,0,0,1.00,1.00,.00,.000,.000,1,0,0,0,0,0,0,.000,1,0,0,0,1.00,.00,.00,.00,0,,90:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Webster,"Regan, Kylee",Kylee,Regan,,759,"Regan, Kylee","REGAN,KYLEE",Webster,WEBS,1259-2452,0,0,5,0,5,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Webster,"O'Reagan, Emily",Emily,O'Reagan,,759,"O'Reagan, Emily","O'REAGAN,EMILY",Webster,WEBS,1259-2453,1,0,7,0,7,0,0,1,1,0,0,0,0,0,1.00,1.00,.00,.000,.000,1,0,0,0,0,0,0,.000,1,0,0,0,1.00,.00,.00,.00,0,,59:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Webster,"Cappozzo, Riley",Riley,Cappozzo,,759,"Cappozzo, Riley","CAPPOZZO,RILEY",Webster,WEBS,1259-2195,1,1,8,0,8,0,0,2,2,2,0,1,0,0,2.00,2.00,2.00,1.000,.000,1,0,0,0,1,1,1,1.000,0,0,0,0,.00,.00,.00,.00,0,,84:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,St. Louis Intercollegiate Athletic Conference (SLIAC),sliac,Webster,"Smith, Mia",Mia,Smith,,759,"Smith, Mia","SMITH,MIA",Webster,WEBS,1259-2213,1,1,9,0,9,0,0,3,4,2,0,1,0,0,4.00,3.00,2.00,1.000,.000,2,0,0,0,0,0,0,.000,1,0,0,0,1.00,.00,.00,.00,0,,63:00,0,.00,.00,,,,,,,,,,,,,,,,,
