rank,conference_code,conference,season,team,player_name,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
1,c2c,Coast-To-Coast Athletic Conference (C2C),2025-2026,Mary Washington,K  Robinson,27,36.2,24.6,6.9,4.1,1.5,0.2,2.9,9.20639488600824,3.7504883625668266,1.6343554328769865,2.6150495918441643,1.3712534623945252,-0.5327740864986336,2.1105063054727022
2,c2c,Coast-To-Coast Athletic Conference (C2C),2025-2026,UC Santa Cruz,J  Espy,26,27.3,16.2,8.5,2.0,0.3,1.0,2.2,5.093518974079524,1.7296727976597628,2.618114433593842,0.33130705660694937,-1.2205662687247973,1.943905450738258,0.9901140692341076
3,c2c,Coast-To-Coast Athletic Conference (C2C),2025-2026,Johnson & Wales - Charlotte,C  Wiley,24,31.2,13.7,6.9,1.7,1.3,1.2,1.8,4.875336150487009,1.128239593818375,1.6343554328769865,0.005058123001632918,0.9392835072079715,2.563075335047481,0.34988993424062453
4,c2c,Coast-To-Coast Athletic Conference (C2C),2025-2026,Chris. Newport,T  Henderson,26,30.0,11.5,4.4,4.3,1.5,0.6,1.5,4.391435467356557,0.5989783744379538,0.09723199425689895,2.8325488809143753,1.3712534623945252,0.7055656821198121,-0.13027816700448766
5,c2c,Coast-To-Coast Athletic Conference (C2C),2025-2026,Chris. Newport,T  Hollenbeck,26,27.0,19.0,3.1,1.9,0.5,0.3,1.7,3.813135775361706,2.4032779859621174,-0.7020721938255468,0.22255741207184382,-0.7885963135382437,-0.22318914434402223,0.18983390049225368
6,c2c,Coast-To-Coast Athletic Conference (C2C),2025-2026,Mary Washington,J  Randall,27,28.6,12.8,6.3,1.7,0.9,0.6,1.1,3.719656513373525,0.9117236404354757,1.2654458076081652,0.005058123001632918,0.07534359683486391,0.7055656821198121,-0.7705023019979704
7,c2c,Coast-To-Coast Athletic Conference (C2C),2025-2026,Chris. Newport,C  Hines,26,27.7,8.9,7.4,3.5,1.5,1.1,2.2,3.700288648806407,-0.026512157557089536,1.941780120601004,1.9625517246335316,1.3712534623945252,2.2534903928928696,0.9901140692341076
8,c2c,Coast-To-Coast Athletic Conference (C2C),2025-2026,Warren Wilson,T  Williams,22,33.3,18.2,5.5,1.7,0.7,0.1,2.9,2.678778084761076,2.210819360732873,0.7735663072497372,0.005058123001632918,-0.35662635835169,-0.8423590286532452,2.1105063054727022
9,c2c,Coast-To-Coast Athletic Conference (C2C),2025-2026,Regent,D  Tema,22,23.6,10.4,5.7,1.5,1.5,0.9,2.0,2.114347424984216,0.3343477647477432,0.8965361823393443,-0.212441166068578,1.3712534623945252,1.6343205085836465,0.6700020017373659
10,c2c,Coast-To-Coast Athletic Conference (C2C),2025-2026,Mary Washington,U  Young,23,30.7,10.3,2.5,2.2,1.5,0.1,1.0,1.2639519272638435,0.3102904365940878,-1.0709818190943678,0.5488063456771606,1.3712534623945252,-0.8423590286532452,-0.9305583357463413
