season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,goal_stats,penalty_stats,misc_stats,shot_stats,composite_score,global_rank,rating
2025-26,mlax,Skyline Conference,skyline_conference,Manhattanville,Tim Beahm,Tim,Beahm,,382,Tim Beahm,"BEAHM,TIM",BEAHMTIMMANHATTA,17,13,,,Manhattanville,MANHATTA,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,6,34,0,14,22,790:00,127,8,1.000,,7,12,0,3,2,1,.583,0.18,,,,,,,,,,,,,,,,,,,1.4759069732652748,58,87
2025-26,mlax,Skyline Conference,skyline_conference,Manhattanville,Nick Padovani,Nick,Padovani,,382,Nick Padovani,"PADOVANI,NICK",PADOVANINICKMANHATTA,17,0,,,Manhattanville,MANHATTA,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,150,121,74,0,9,0,00:00,0,271,1.000,,4,6,0,6,4,2,.667,0.35,,,,,,,,,,,,,,,,,,,1.3947921972850958,59,87
2025-26,mlax,Skyline Conference,skyline_conference,Mount Saint Vincent,Ryan Jean-Pharuns,Ryan,Jean-Pharuns,,451,Ryan Jean-Pharuns,"JEAN-PHARUNS,RYAN",JEAN-PHARUNSRYANMT. ST. VINCENT,12,6,,,Mount Saint Vincent,MT. ST. VINCENT,0,0,0,0,0,0,1,8,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,18,2,317:00,58,0,1.000,,30,50,0,18,5,13,.600,1.50,,,,,,,,,,,,,,,,,,,1.3832061020367057,60,87
2025-26,mlax,Skyline Conference,skyline_conference,Manhattanville,Nick Corace,Nick,Corace,,382,Nick Corace,"CORACE,NICK",CORACENICKMANHATTA,10,3,,,Manhattanville,MANHATTA,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,0,16,1,183:00,46,0,1.000,,29,40,0,19,3,16,.725,1.90,,,,,,,,,,,,,,,,,,,1.3583586700701367,61,86
2025-26,mlax,Skyline Conference,skyline_conference,Mount Saint Mary,Kenny Leen,Kenny,Leen,,1468,Kenny Leen,"LEEN,KENNY",LEENKENNYMT. ST.,14,14,,,Mount Saint Mary,MT. ST.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,20,7,834:00,71,0,1.000,,0,0,0,2,2,0,.000,0.14,14,829:58,152,188,0,6,9,0,2,0,0,571,10.99,.553,,,,,1.279956972368587,62,86
2025-26,mlax,Skyline Conference,skyline_conference,Purchase,Jack Saueracker,Jack,Saueracker,,30029,Jack Saueracker,"SAUERACKER,JACK",SAUERACKERJACKPURCHASE,14,2,,,Purchase,PURCHASE,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15,0,26,4,120:00,0,0,1.000,,28,46,0,14,8,6,.609,1.00,,,,,,,,,,,,,,,,,,,1.2125717244849636,63,86
2025-26,mlax,Skyline Conference,skyline_conference,Farmingdale State,William Henry,William,Henry,,27892,William Henry,"HENRY,WILLIAM",HENRYWILLIAMFARMINGD,20,20,,,Farmingdale State,FARMINGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,35,0,12,25,1203:00,98,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,,1.1850213041656026,64,86
2025-26,mlax,Skyline Conference,skyline_conference,Maritime,Ryan Grider,Ryan,Grider,,478,Ryan Grider,"GRIDER,RYAN",GRIDERRYANMTIME,13,0,,,Maritime,MTIME,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,13,0,5,1,00:00,0,0,1.000,,13,20,0,16,7,9,.650,1.23,,,,,,,,,,,,,,,,,,,1.1709964684253458,65,86
2025-26,mlax,Skyline Conference,skyline_conference,Mount Saint Vincent,Rene Alamo,Rene,Alamo,,451,Rene Alamo,"ALAMO,RENE",ALAMORENEMT. ST. VINCENT,15,2,,,Mount Saint Vincent,MT. ST. VINCENT,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,21,0,21,5,120:00,0,2,1.000,,19,35,0,12,8,4,.543,0.80,,,,,,,,,,,,,,,,,,,1.1668368576262529,66,86
2025-26,mlax,Skyline Conference,skyline_conference,Maritime,Ryan Giambone,Ryan,Giambone,,478,Ryan Giambone,"GIAMBONE,RYAN",GIAMBONERYANMTIME,15,14,,,Maritime,MTIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,46,0,9,19,844:00,97,0,1.000,,1,2,0,0,0,0,.500,0.00,,,,,,,,,,,,,,,,,,,0.9943263825043565,67,85
2025-26,mlax,Skyline Conference,skyline_conference,Purchase,Brendon Truex,Brendon,Truex,,30029,Brendon Truex,"TRUEX,BRENDON",TRUEXBRENDONPURCHASE,15,15,,,Purchase,PURCHASE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,33,0,27,21,911:00,119,0,1.000,,1,1,0,1,1,0,1.000,0.07,,,,,,,,,,,,,,,,,,,0.929261733436067,68,85
2025-26,mlax,Skyline Conference,skyline_conference,Manhattanville,Francisco Rosas,Francisco,Rosas,,382,Francisco Rosas,"ROSAS,FRANCISCO",ROSASFRANCISCOMANHATTA,17,4,,,Manhattanville,MANHATTA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,38,0,9,19,240:00,0,0,1.000,,4,5,0,1,0,1,.800,0.06,,,,,,,,,,,,,,,,,,,0.8795516332497533,69,85
2025-26,mlax,Skyline Conference,skyline_conference,Maritime,Michael Monahan,Michael,Monahan,,478,Michael Monahan,"MONAHAN,MICHAEL",MONAHANMICHAELMTIME,16,16,,,Maritime,MTIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,14,6,792:00,262,0,1.000,,0,0,0,0,0,0,.000,0.00,16,793:52,139,190,0,9,8,0,13,0,0,595,10.51,.578,,,,,0.8581535274860979,70,85
2025-26,mlax,Skyline Conference,skyline_conference,Farmingdale State,Logan Reese,Logan,Reese,,27892,Logan Reese,"REESE,LOGAN",REESELOGANFARMINGD,19,13,,,Farmingdale State,FARMINGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,42,0,5,17,782:00,4,0,1.000,,2,3,0,1,0,1,.667,0.05,,,,,,,,,,,,,,,,,,,0.828520000273343,71,85
2025-26,mlax,Skyline Conference,skyline_conference,Merchant Marine,William Schipfer,William,Schipfer,,724,William Schipfer,"SCHIPFER,WILLIAM",SCHIPFERWILLIAMUSMMA,16,0,,,Merchant Marine,USMMA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,11,18,49,0,3,14,00:00,0,29,1.000,,2,3,0,1,0,1,.667,0.06,,,,,,,,,,,,,,,,,,,0.7895725735407431,72,85
2025-26,mlax,Skyline Conference,skyline_conference,Mount Saint Vincent,Jake Luxoro,Jake,Luxoro,,451,Jake Luxoro,"LUXORO,JAKE",LUXOROJAKEMT. ST. VINCENT,15,14,,,Mount Saint Vincent,MT. ST. VINCENT,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,22,0,17,19,818:00,81,0,1.000,,4,6,0,3,1,2,.667,0.20,,,,,,,,,,,,,,,,,,,0.6862806246824653,73,84
2025-26,mlax,Skyline Conference,skyline_conference,Merchant Marine,Charlie Wahlin,Charlie,Wahlin,,724,Charlie Wahlin,"WAHLIN,CHARLIE",WAHLINCHARLIEUSMMA,9,0,,,Merchant Marine,USMMA,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,16,2,00:00,0,0,1.000,,11,14,0,14,8,6,.786,1.56,,,,,,,,,,,,,,,,,,,0.6727397959923545,74,84
2025-26,mlax,Skyline Conference,skyline_conference,Mount Saint Mary,Chris Murolo,Chris,Murolo,,1468,Chris Murolo,"MUROLO,CHRIS",MUROLOCHRISMT. ST.,13,1,,,Mount Saint Mary,MT. ST.,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,0,11,3,60:00,0,0,1.000,,15,27,0,14,4,10,.556,1.08,,,,,,,,,,,,,,,,,,,0.6659417209089311,75,84
2025-26,mlax,Skyline Conference,skyline_conference,Mount Saint Vincent,Sam Hall,Sam,Hall,,451,Sam Hall,"HALL,SAM",HALLSAMMT. ST. VINCENT,12,0,,,Mount Saint Vincent,MT. ST. VINCENT,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,16,3,00:00,0,0,1.000,,26,38,0,13,4,9,.684,1.08,,,,,,,,,,,,,,,,,,,0.6303163792354731,76,84
