conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,z_shot_stats_goals,z_shot_stats_assists,z_shot_stats_points,z_shot_stats_shots_on_goal,z_caution_stats_yellow_cards,z_caution_stats_red_cards,composite_score,global_rank,rating
aec,Atlantic East Conference (AEC),2025-26,wsoc,Pratt Institute,"Nolan, Kate",0,,15.0,16,16,0.0,0.0,50.0,82.0,44.0,10.0,17.0,0.0,0.0,5.13,3.13,2.75,1.063,0.625,33.0,0.0,2.0,0.0,5.0,8.0,2.0,0.125,7.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,,1304:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,7.194329576114222,6.003266968260092,7.490192171939805,6.145912938731623,-0.3816427271025709,-0.07834215231130172,17.957516831990382,14,97
mwc,Midwest Conference (MWC),2025-26,wsoc,Lake Forest,"DeStefano, Izzy",0,,19.0,22,22,0.0,0.0,44.0,76.0,41.0,15.0,13.0,1.0,1.0,3.45,2.0,1.86,0.591,0.682,31.0,0.0,1.0,0.0,4.0,6.0,4.0,0.182,7.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,,1220:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.392518412080186,9.249661053394204,6.9446403492981,5.337041711981143,-0.3816427271025709,-0.07834215231130172,17.884521006350933,15,97
umac,Upper Midwest Athletic Conference (UMAC),2025-26,wsoc,Northwestern,"Kendall, Marie",0,,30.0,23,23,0.0,0.0,95.0,190.0,40.0,12.0,14.0,1.0,1.0,8.26,4.13,1.74,0.609,0.522,81.0,0.0,2.0,0.0,2.0,11.0,3.0,0.13,17.0,0.0,2.0,0.0,0.74,0.09,0.0,0.0,0.0,,1900:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.842971203088695,7.3018246023137365,6.762789741750866,12.212447139360227,2.966511259134707,-0.07834215231130172,17.71705084386028,16,97
nac,North Atlantic Conference (NAC),2025-26,wsoc,Maine Maritime,Hadley Stoddard,0,,9.0,20,20,0.0,0.0,53.0,71.0,47.0,5.0,21.0,0.0,0.0,3.55,2.65,2.35,1.05,0.25,32.0,1.0,2.0,0.0,6.0,6.0,7.0,0.35,7.0,0.0,1.0,0.0,0.35,0.05,0.0,0.0,0.0,,1470:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,8.996140740148258,2.756872883125978,8.03574399458151,6.550348552106864,1.2924342660160681,-0.07834215231130172,17.698513985986985,17,97
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,wsoc,Illinois Tech,"Smith, Kayla",0,,4.0,22,22,0.0,0.0,44.0,80.0,41.0,13.0,14.0,1.0,1.0,3.64,2.0,1.86,0.636,0.591,30.0,0.0,1.0,0.0,1.0,9.0,3.0,0.136,14.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,,1559:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.842971203088695,7.951103419340559,6.9446403492981,5.337041711981143,-0.3816427271025709,-0.07834215231130172,17.42598345352189,18,97
umac,Upper Midwest Athletic Conference (UMAC),2025-26,wsoc,Northwestern,"Mersberger, Haley",0,,5.0,23,23,0.0,0.0,70.0,131.0,45.0,3.0,21.0,2.0,0.0,5.7,3.04,1.96,0.913,0.13,49.0,2.0,2.0,0.0,4.0,7.0,3.0,0.13,18.0,0.0,1.0,0.0,0.78,0.04,0.0,0.0,0.0,,1937:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,8.996140740148258,1.458315249072333,7.6720427794870405,8.842150361233225,1.2924342660160681,-0.07834215231130172,16.993293153408576,19,97
odac,Old Dominion Athletic Conference (ODAC),2025-26,wsoc,Bridgewater College,"Birkley, Lyric",0,,13.0,21,20,0.0,0.0,40.0,73.0,39.0,15.0,12.0,3.0,3.0,3.48,1.9,1.86,0.571,0.714,28.0,0.0,1.0,0.0,2.0,5.0,2.0,0.095,14.0,0.0,2.0,0.0,0.67,0.1,0.0,0.0,0.0,,1304:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4.942065621071676,9.249661053394204,6.58093913420363,4.797794227480822,2.966511259134707,-0.07834215231130172,16.56940476994064,20,96
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wsoc,Salem,Darilyn Nieto,0,,11.0,17,16,0.0,0.0,57.0,94.0,46.0,2.0,22.0,0.0,0.0,5.53,3.35,2.71,1.294,0.118,35.0,5.0,4.0,0.0,2.0,9.0,3.0,0.176,11.0,0.0,2.0,0.0,0.65,0.12,0.0,0.0,0.0,,1414:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,9.446593531156767,0.8090364320455103,7.853893387034275,7.089596036607184,2.966511259134707,-0.07834215231130172,16.514923783888367,21,96
uaa,University Athletic Association (UAA),2025-26,wsoc,Emory,"Nimmer, Kaitlyn",0,,16.0,24,24,0.0,0.0,55.0,108.0,38.0,12.0,13.0,1.0,0.0,4.5,2.29,1.58,0.542,0.5,42.0,1.0,0.0,0.0,5.0,4.0,5.0,0.208,15.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,,1667:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.392518412080186,7.3018246023137365,6.399088526656396,6.819972294357024,-0.3816427271025709,-0.07834215231130172,16.43573533122059,22,96
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Messiah,Hannah Adair,0,,10.0,25,25,0.0,0.0,52.0,101.0,39.0,9.0,15.0,0.0,0.0,4.04,2.08,1.56,0.6,0.36,37.0,0.0,1.0,0.0,6.0,4.0,5.0,0.2,9.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,,1516:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,6.293423994097203,5.353988151233269,6.58093913420363,6.415536680981783,-0.3816427271025709,-0.07834215231130172,16.019563700089297,23,96
