conference_code,conference,season,team,player_name,first_name,last_name,class_year,position,gp,mp_total,mpg,pts_total,ppg,reb_total,rpg,ast_total,apg,stl_total,spg,blk_total,bpg,tov_total,tov_pg,fgm,fga,fg_pct,tpm,tpa,tp_pct,ftm,fta,ft_pct
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Cairn University,"Rivera,Nick",Nick,Rivera,0,G,22,232.0,10.545454545454543,36.0,1.64,50.0,2.27,33.0,1.5,14.0,0.64,2.0,0.09,18.0,0.8181818181818182,12.0,27.0,0.44,0.0,3.0,0.0,12.0,18.0,0.67
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Cairn University,"Cughan,Luke",Luke,Cughan,0,G,8,35.0,4.375,14.0,1.75,6.0,0.75,3.0,0.38,3.0,0.38,0.0,0.0,5.0,0.625,5.0,13.0,0.38,4.0,11.0,0.36,0.0,0.0,0.0
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Cairn University,"Barton,Brady",Brady,Barton,0,G,7,26.0,3.7142857142857144,9.0,1.29,3.0,0.43,1.0,0.14,2.0,0.29,0.0,0.0,1.0,0.1428571428571428,3.0,9.0,0.33,3.0,9.0,0.33,0.0,1.0,0.0
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Cairn University,"Midamba,Donne",Donne,Midamba,0,C,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Cairn University,Tavon Myers,Tavon Myers,,0,0,-4,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Notre Dame of Maryland,"Wright,Anthony",Anthony,Wright,0,G,26,719.0,27.653846153846153,265.0,10.19,112.0,4.31,39.0,1.5,34.0,1.31,7.0,0.27,37.0,1.4230769230769231,109.0,211.0,0.52,9.0,28.0,0.32,38.0,71.0,0.54
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Notre Dame of Maryland,"Pugh,Jackson",Jackson,Pugh,0,G,26,682.0,26.23076923076923,239.0,9.19,57.0,2.19,77.0,2.96,42.0,1.62,0.0,0.0,46.0,1.7692307692307692,70.0,160.0,0.44,22.0,54.0,0.41,77.0,96.0,0.8
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Notre Dame of Maryland,"Johnson,Chandler",Chandler,Johnson,0,G,24,453.0,18.875,148.0,6.17,52.0,2.17,54.0,2.25,15.0,0.63,4.0,0.17,34.0,1.4166666666666667,49.0,160.0,0.31,19.0,71.0,0.27,31.0,42.0,0.74
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Notre Dame of Maryland,"Sheikh,Azaan",Azaan,Sheikh,0,G,13,77.0,5.923076923076923,26.0,2.0,7.0,0.54,4.0,0.31,3.0,0.23,0.0,0.0,4.0,0.3076923076923077,7.0,19.0,0.37,4.0,15.0,0.27,8.0,9.0,0.89
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Notre Dame of Maryland,"Green,Carlos",Carlos,Green,0,G,25,467.0,18.68,198.0,7.92,35.0,1.4,33.0,1.32,13.0,0.52,2.0,0.08,26.0,1.04,67.0,148.0,0.45,38.0,78.0,0.49,26.0,32.0,0.81
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Notre Dame of Maryland,"Bell,Amari",Amari,Bell,0,F,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Notre Dame of Maryland,"Ross,Ricardo",Ricardo,Ross,0,G,26,696.0,26.76923076923077,393.0,15.12,98.0,3.77,78.0,3.0,50.0,1.92,2.0,0.08,61.0,2.3461538461538463,143.0,304.0,0.47,49.0,117.0,0.42,58.0,74.0,0.78
