season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,stats_stats_field_goals_made,stats_stats_field_goals_attempted,stats_stats_three_points_made,stats_stats_three_points_attempted,stats_stats_free_throws_attempted,stats_stats_free_throws_made,stats_stats_points_scored,stats_stats_blocked_shots,stats_stats_steals,stats_stats_assists,stats_stats_minutes_played,stats_stats_offensive_rebounds,stats_stats_defensive_rebounds,stats_stats_total_rebounds,stats_stats_personal_fouls,stats_stats_technical_fouls,stats_stats_turnovers,stats_stats_disqualifications,stats_stats_deadballs,stats_stats_games_played,stats_stats_field_goals_pct,stats_stats_three_points_pct,stats_stats_free_throws_pct,stats_stats_points_per_game,stats_stats_rebounds_per_game,stats_stats_assists_per_game,stats_stats_steals_per_game,stats_stats_blocked_shots_per_game,code
2025-26,wbball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,"Brunsberg,Chloe",Chloe,Brunsberg,G,286,"Brunsberg,Chloe","BRUNSBERG,CHLOE",Hope,Hope,1087-3396,30,0,02,0,46,107,31,79,17,12,135,4,26,8,387,15,50,65,18,0,14,0,0,30,0.43,0.39,0.71,4.50,2.17,0.27,0.87,0.13,02
2025-26,wbball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,"LaPrairie,Sarah",Sarah,LaPrairie,G,286,"LaPrairie,Sarah","LAPRAIRIE,SARAH",Hope,Hope,1087-3682,2,0,03,0,1,2,0,1,0,0,2,0,0,1,10,1,0,1,0,0,2,0,0,2,0.50,0.00,0.00,1.00,0.50,0.50,0.00,0.00,03
2025-26,wbball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,"Leach,Lauren",Lauren,Leach,G,286,"Leach,Lauren","LEACH,LAUREN",Hope,Hope,1087-3048,30,0,04,0,27,76,12,36,36,17,83,9,16,34,525,23,56,79,31,0,20,0,0,30,0.36,0.33,0.47,2.77,2.63,1.13,0.53,0.30,04
2025-26,wbball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,"Blazei,Katie",Katie,Blazei,C,286,"Blazei,Katie","BLAZEI,KATIE",Hope,Hope,1087-3683,28,0,05,0,30,59,0,0,40,24,84,7,15,10,281,35,35,70,38,0,35,0,0,28,0.51,0.00,0.60,3.00,2.50,0.36,0.54,0.25,05
2025-26,wbball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,"Richards,Anna",Anna,Richards,G,286,"Richards,Anna","RICHARDS,ANNA",Hope,Hope,1087-3680,30,30,10,0,140,318,44,97,71,44,368,7,49,70,817,53,117,170,33,0,55,0,0,30,0.44,0.45,0.62,12.27,5.67,2.33,1.63,0.23,10
2025-26,wbball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,"DeSmit,Josie",Josie,DeSmit,G,286,"DeSmit,Josie","DESMIT,JOSIE",Hope,Hope,1087-3962,30,0,11,0,46,108,8,27,27,22,122,1,14,48,460,13,56,69,20,0,30,0,0,30,0.43,0.30,0.81,4.07,2.30,1.60,0.47,0.03,11
2025-26,wbball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,"Yakey,Emma",Emma,Yakey,G,286,"Yakey,Emma","YAKEY,EMMA",Hope,Hope,1087-3403,16,0,12,0,10,27,7,14,5,2,29,1,3,0,89,2,11,13,7,0,8,0,0,16,0.37,0.50,0.40,1.81,0.81,0.00,0.19,0.06,12
2025-26,wbball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,"Miller,Lily",Lily,Miller,F,286,"Miller,Lily","MILLER,LILY",Hope,Hope,1087-3397,16,0,14,0,12,19,1,5,0,0,25,0,4,2,79,5,12,17,5,0,3,0,0,16,0.63,0.20,0.00,1.56,1.06,0.13,0.25,0.00,14
2025-26,wbball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,"Guy,Grayson",Grayson,Guy,F,286,"Guy,Grayson","GUY,GRAYSON",Hope,Hope,1087-3404,18,0,15,0,14,39,0,0,14,8,36,0,6,3,129,17,29,46,13,0,14,0,0,18,0.36,0.00,0.57,2.00,2.56,0.17,0.33,0.00,15
2025-26,wbball,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,"Richards,Leah",Leah,Richards,F,286,"Richards,Leah","RICHARDS,LEAH",Hope,Hope,1087-3679,30,30,20,0,114,237,15,44,117,91,334,20,51,26,735,95,121,216,40,0,32,0,0,30,0.48,0.34,0.78,11.13,7.20,0.87,1.70,0.67,20
