season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats,goal_stats,caution_stats,misc_stats,goalie_stats,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game
2026-27,msoc,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,Ben Shapiro,Ben,Shapiro,,420,Ben Shapiro,"SHAPIRO,BEN",Middlebury,MIDDLEBU,1126-6358,1,0,12,0,12,,,,,,0,0,0,1,0,0,0,0,0,1.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,58:00,0,.00,.00,,,,,,,,,,,,,,,,
2026-27,msoc,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,Anderson Gardner,Anderson,Gardner,,420,Anderson Gardner,"GARDNER,ANDERSON",Middlebury,MIDDLEBU,1126-5972,0,0,13,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,JT Federman,JT,Federman,,420,JT Federman,"FEDERMAN,JT",Middlebury,MIDDLEBU,1126-5971,1,1,14,0,14,,,,,,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,90:00,0,.00,.00,,,,,,,,,,,,,,,,
2026-27,msoc,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,Charlie Johnson,Charlie,Johnson,,420,Charlie Johnson,"JOHNSON,CHARLIE",Middlebury,MIDDLEBU,1126-5974,1,1,15,0,15,,,,,,0,0,2,3,0,0,0,0,0,3.00,2.00,.00,.000,.000,2,0,0,0,0,0,0,.000,1,0,0,0,1.00,.00,.00,.00,0,,58:00,0,.00,.00,,,,,,,,,,,,,,,,
2026-27,msoc,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,Felix Rubenstein,Felix,Rubenstein,,420,Felix Rubenstein,"RUBENSTEIN,FELIX",Middlebury,MIDDLEBU,1126-6357,0,0,16,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,Hugo Horwitz,Hugo,Horwitz,,420,Hugo Horwitz,"HORWITZ,HUGO",Middlebury,MIDDLEBU,1126-5761,1,0,17,0,17,,,,,,0,0,0,1,0,0,0,0,0,1.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,32:00,0,.00,.00,,,,,,,,,,,,,,,,
2026-27,msoc,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,Hamin Kim,Hamin,Kim,,420,Hamin Kim,"KIM,HAMIN",Middlebury,MIDDLEBU,1126-6353,1,1,18,0,18,,,,,,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,68:00,0,.00,.00,,,,,,,,,,,,,,,,
2026-27,msoc,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,Eric Outwater,Eric,Outwater,,420,Eric Outwater,"OUTWATER,ERIC",Middlebury,MIDDLEBU,1126-6688,1,0,19,0,19,,,,,,0,0,1,1,0,0,0,0,0,1.00,1.00,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,15:00,0,.00,.00,,,,,,,,,,,,,,,,
2026-27,msoc,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,Matteo Paganini,Matteo,Paganini,,420,Matteo Paganini,"PAGANINI,MATTEO",Middlebury,MIDDLEBU,1126-6354,0,0,20,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,Ajax Dau,Ajax,Dau,,420,Ajax Dau,"DAU,AJAX",Middlebury,MIDDLEBU,1126-6687,1,0,21,0,21,,,,,,0,0,1,1,0,0,0,0,0,1.00,1.00,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,33:00,0,.00,.00,,,,,,,,,,,,,,,,
