season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats,composite_score,global_rank,rating
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Averett University,"Freeman, Shaun",Shaun,Freeman,,44,"Freeman, Shaun","FREEMAN, SHAUN",Averett University,AUW,0,66,12,3,0,3,0,.086,35,4,7,211,20,818,0,8,20,93,0,0,1,1,73,7,0,6,1,19,0,0.11,3.20,1.11,0.11,0.12,0.29,,,,,,,-2.3746356989892803,90,62
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Eastern Mennonite University,"Morales Torres, Diego",Diego,Morales Torres,,203,"Morales Torres, Diego","MORALES TORRES, DIEGO",Eastern Mennonite University,EMU,0,58,11,9,0,9,0,.067,15,3,4,228,5,659,0,7,13,107,0,0,1,0,61,9,0,9,0,15.5,0,0.07,3.93,1.05,0.16,0.12,0.27,,,,,,,-2.40976410150753,91,62
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Roanoke College,"Scherber, Nathan",Nathan,Scherber,,578,"Scherber, Nathan","SCHERBER, NATHAN",Roanoke College,RC,0,3,0,16,0,16,0,.000,8,2,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,2.5,0,0.67,0.00,0.33,0.33,0.00,0.83,,,,,,,-2.5608643009177725,92,61
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Virginia Wesleyan,"Hall, Siah",Siah,Hall,,745,"Hall, Siah","HALL, SIAH",Virginia Wesleyan,VWU,0,93,0,9,0,9,0,.105,19,1,3,52,0,177,0,0,0,0,0,0,476,24,173,0,0,0,0,3,0,0.03,0.56,1.86,0.00,0.00,0.03,,,,,,,-2.7035916808749065,93,61
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Randolph College,"Richardson, Blaine",Blaine,Richardson,,566,"Richardson, Blaine","RICHARDSON, BLAINE",Randolph College,Rand,0,20,9,99,0,99,0,.114,35,9,13,0,0,1,0,1,9,23,0,0,50,5,9,1,0,1,0,14.5,0,0.65,0.00,0.45,0.05,0.05,0.73,,,,,,,-2.705805592832442,94,60
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Virginia Wesleyan,"Ogle, Jagger",Jagger,Ogle,,745,"Ogle, Jagger","OGLE, JAGGER",Virginia Wesleyan,VWU,0,58,28,10,0,10,0,-.133,15,3,1,272,12,716,0,10,41,233,0,0,2,0,85,5,0,5,0,13.5,0,0.02,4.69,1.47,0.09,0.17,0.23,,,,,,,-2.936554959529463,95,60
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Roanoke College,"Houser, Leo",Leo,Houser,,578,"Houser, Leo","HOUSER, LEO",Roanoke College,RC,0,15,3,7,0,7,0,.000,1,0,0,63,2,163,0,3,5,55,0,0,4,0,15,0,0,0,0,3,0,0.00,4.20,1.00,0.00,0.20,0.20,,,,,,,-3.051934778623988,96,59
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Randolph-Macon College,"Plucker, Brady",Brady,Plucker,,565,"Plucker, Brady","PLUCKER, BRADY",Randolph-Macon College,RMC,0,99,0,6,0,6,0,-.111,9,1,0,46,1,204,0,0,0,0,0,0,606,25,232,0,0,0,0,0,0,0.00,0.46,2.34,0.00,0.00,0.00,,,,,,,-3.2284885803988215,97,59
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Eastern Mennonite University,"Chamberlain, Joel",Joel,Chamberlain,,203,"Chamberlain, Joel","CHAMBERLAIN, JOEL",Eastern Mennonite University,EMU,0,28,0,13,0,13,0,-.017,58,16,15,0,0,3,0,0,4,10,0,0,0,0,6,7,1,5,2,19.5,1,0.54,0.00,0.21,0.25,0.00,0.70,,,,,,,-3.3176080432256727,98,59
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Randolph-Macon College,"DeLuca, Matteo",Matteo,DeLuca,,565,"DeLuca, Matteo","DELUCA, MATTEO",Randolph-Macon College,RMC,0,80,13,9,0,9,0,.000,4,1,1,19,0,38,0,10,12,245,0,0,151,9,77,0,0,0,0,11,0,0.01,0.24,0.96,0.00,0.13,0.14,,,,,,,-3.4975326209925592,99,58
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Eastern Mennonite University,"De La Cruz, Rey",Rey,De La Cruz,,203,"De La Cruz, Rey","DE LA CRUZ, REY",Eastern Mennonite University,EMU,0,110,0,2,0,2,0,-.250,8,2,0,74,2,255,0,0,0,0,0,0,641,33,289,0,0,0,0,0,0,0.00,0.67,2.63,0.00,0.00,0.00,,,,,,,-3.554206380115581,100,58
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Randolph-Macon College,"Crowther, Caleb",Caleb,Crowther,,565,"Crowther, Caleb","CROWTHER, CALEB",Randolph-Macon College,RMC,0,88,13,22,0,22,0,.000,3,0,0,20,0,61,0,11,22,299,0,0,193,12,81,0,0,0,0,11,0,0.00,0.23,0.92,0.00,0.13,0.13,,,,,,,-3.5610571245137033,101,57
2025-26,mvball,Old Dominion Athletic Conference (ODAC),odac,Randolph College,"Looney, Samuel",Samuel,Looney,,566,"Looney, Samuel","LOONEY, SAMUEL",Randolph College,Rand,0,72,1,1,0,1,0,-.091,11,1,0,33,4,129,0,0,4,14,0,0,374,15,135,1,0,0,1,1,0,0.00,0.46,1.88,0.01,0.00,0.01,,,,,,,-3.6240306317772832,102,57
