conference_code,conference,season,team,player_name,first_name,last_name,class_year,position,gp,mp_total,mpg,pts_total,ppg,reb_total,rpg,ast_total,apg,stl_total,spg,blk_total,bpg,tov_total,tov_pg,fgm,fga,fg_pct,tpm,tpa,tp_pct,ftm,fta,ft_pct
nwc,Northwest Conference (NWC),2025-26,Willamette,"Hester,Davis",Davis,Hester,0,,27,727.0,26.925925925925927,254.0,9.41,97.0,3.59,22.0,0.81,30.0,1.11,7.0,0.26,30.0,1.1111111111111112,84.0,195.0,0.43,44.0,117.0,0.38,42.0,52.0,0.81
nwc,Northwest Conference (NWC),2025-26,Willamette,"Overby,Tanner",Tanner,Overby,0,G,22,631.0,28.681818181818183,542.0,24.64,107.0,4.86,71.0,3.23,51.0,2.32,9.0,0.41,53.0,2.409090909090909,187.0,355.0,0.53,25.0,55.0,0.45,143.0,166.0,0.86
nwc,Northwest Conference (NWC),2025-26,Willamette,"Uperesa-Thomas,Dra",Dra,Uperesa-Thomas,0,F,25,493.0,19.72,185.0,7.4,107.0,4.28,50.0,2.0,49.0,1.96,19.0,0.76,50.0,2.0,69.0,168.0,0.41,17.0,63.0,0.27,30.0,52.0,0.58
nwc,Northwest Conference (NWC),2025-26,Willamette,"Isai,Aadem",Aadem,Isai,0,G,25,222.0,8.88,41.0,1.64,22.0,0.88,25.0,1.0,13.0,0.52,0.0,0.0,20.0,0.8,16.0,44.0,0.36,4.0,22.0,0.18,5.0,13.0,0.38
nwc,Northwest Conference (NWC),2025-26,Willamette,"Harden,Nick",Nick,Harden,0,,14,98.0,7.0,27.0,1.93,21.0,1.5,5.0,0.36,2.0,0.14,1.0,0.07,1.0,0.0714285714285714,10.0,35.0,0.29,5.0,18.0,0.28,2.0,2.0,1.0
nwc,Northwest Conference (NWC),2025-26,Willamette,"Wolfe,AJ",AJ,Wolfe,0,G,25,175.0,7.0,93.0,3.72,18.0,0.72,2.0,0.08,7.0,0.28,0.0,0.0,2.0,0.08,31.0,76.0,0.41,30.0,73.0,0.41,1.0,2.0,0.5
nwc,Northwest Conference (NWC),2025-26,Willamette,"Perry,Deacon",Deacon,Perry,0,F,27,480.0,17.77777777777778,161.0,5.96,107.0,3.96,13.0,0.48,33.0,1.22,22.0,0.81,35.0,1.2962962962962965,64.0,131.0,0.49,1.0,9.0,0.11,32.0,48.0,0.67
nwc,Northwest Conference (NWC),2025-26,Willamette,"Stringfellow,Tyler",Tyler,Stringfellow,0,G,27,324.0,12.0,160.0,5.93,39.0,1.44,18.0,0.67,17.0,0.63,4.0,0.15,20.0,0.7407407407407407,51.0,149.0,0.34,38.0,112.0,0.34,20.0,31.0,0.65
nwc,Northwest Conference (NWC),2025-26,Willamette,"Clem,Connor",Connor,Clem,0,F,15,80.0,5.333333333333333,29.0,1.93,32.0,2.13,0.0,0.0,6.0,0.4,2.0,0.13,8.0,0.5333333333333333,12.0,33.0,0.36,0.0,0.0,0.0,5.0,11.0,0.45
nwc,Northwest Conference (NWC),2025-26,Willamette,"Nyikos,Balazs",Balazs,Nyikos,0,G,8,83.0,10.375,30.0,3.75,10.0,1.25,11.0,1.38,5.0,0.63,0.0,0.0,14.0,1.75,12.0,19.0,0.63,4.0,5.0,0.8,2.0,2.0,1.0
