season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,shot_stats,goal_stats,caution_stats,misc_stats
2026-27,msoc,University Athletic Association (UAA),uaa,New York,"Ballerini, Giovanni",Giovanni,Ballerini,,479,"Ballerini, Giovanni","BALLERINI,GIOVANNI",New York,NYU,1186-5444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,University Athletic Association (UAA),uaa,New York,"McCloskey, Jackson",Jackson,McCloskey,,479,"McCloskey, Jackson","MCCLOSKEY,JACKSON",New York,NYU,1186-5047,1,0,1,0,1,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,45:00,0,.00,.00,,3,0,0,0,0,.500,2.00,1,1,45:00,0,1,1.00,0.500,.000,1.00,,,,
2026-27,msoc,University Athletic Association (UAA),uaa,New York,"Talisayon, Gabino",Gabino,Talisayon,,479,"Talisayon, Gabino","TALISAYON,GABINO",New York,NYU,1186-5458,3,3,21,0,21,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,225:00,0,.00,.00,,11,0,0,3,1,.800,0.40,4,1,225:00,3,3,.33,0.800,.333,1.33,,,,
2026-27,msoc,University Athletic Association (UAA),uaa,New York,"Vilary, Luke",Luke,Vilary,,479,"Vilary, Luke","VILARY,LUKE",New York,NYU,1186-5643,3,3,2,0,2,0,0,2,4,3,1,1,0,0,1.33,.67,1.00,.333,.333,1,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,153:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,University Athletic Association (UAA),uaa,New York,"Fearn, Lucas",Lucas,Fearn,,479,"Fearn, Lucas","FEARN,LUCAS",New York,NYU,1186-5446,0,0,3,0,3,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,University Athletic Association (UAA),uaa,New York,"Hoy, Owen",Owen,Hoy,,479,"Hoy, Owen","HOY,OWEN",New York,NYU,1186-5450,3,0,4,0,4,0,0,0,3,0,0,0,0,0,1.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,59:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,University Athletic Association (UAA),uaa,New York,"Wainer, Eric",Eric,Wainer,,479,"Wainer, Eric","WAINER,ERIC",New York,NYU,1186-5459,3,3,5,0,5,0,0,1,3,0,0,0,0,0,1.00,.33,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,211:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,University Athletic Association (UAA),uaa,New York,"Mijatovic, Lazar",Lazar,Mijatovic,,479,"Mijatovic, Lazar","MIJATOVIC,LAZAR",New York,NYU,1186-5454,3,3,6,0,6,0,0,0,1,1,1,0,0,0,.33,.00,.33,.000,.333,0,0,0,0,0,0,0,.000,3,0,0,0,1.00,.00,.00,.00,0,,198:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,University Athletic Association (UAA),uaa,New York,"Ma, Audric",Audric,Ma,,479,"Ma, Audric","MA,AUDRIC",New York,NYU,1186-5453,3,2,7,0,7,0,0,0,2,0,0,0,0,0,.67,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,4,0,0,0,1.33,.00,.00,.00,0,,89:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,University Athletic Association (UAA),uaa,New York,"Sakalosky, Kyle",Kyle,Sakalosky,,479,"Sakalosky, Kyle","SAKALOSKY,KYLE",New York,NYU,1186-5457,3,3,8,0,8,0,0,0,2,0,0,0,0,0,.67,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,2,0,0,0,.67,.00,.00,.00,0,,155:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,University Athletic Association (UAA),uaa,New York,"Namdar, Keyon",Keyon,Namdar,,479,"Namdar, Keyon","NAMDAR,KEYON",New York,NYU,1186-5455,3,3,9,0,9,0,0,2,4,4,2,1,0,0,1.33,.67,1.33,.333,.667,1,0,0,0,1,1,0,.000,1,0,0,0,.33,.00,.00,.00,0,,127:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,University Athletic Association (UAA),uaa,New York,"Calkap, Demir",Demir,Calkap,,479,"Calkap, Demir","CALKAP,DEMIR",New York,NYU,1186-5485,3,3,10,0,10,0,0,4,5,6,0,3,1,1,1.67,1.33,2.00,1.000,.000,1,0,0,0,0,1,2,.667,4,0,1,0,1.33,.33,.00,.00,0,,186:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,University Athletic Association (UAA),uaa,New York,"Williams, Vic",Vic,Williams,,479,"Williams, Vic","WILLIAMS,VIC",New York,NYU,1186-5266,1,1,11,0,11,0,0,1,1,0,0,0,0,0,1.00,1.00,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,29:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,University Athletic Association (UAA),uaa,New York,"Frisell, Wilhelm",Wilhelm,Frisell,,479,"Frisell, Wilhelm","FRISELL,WILHELM",New York,NYU,1186-5447,3,0,12,0,12,0,0,1,2,0,0,0,0,0,.67,.33,.00,.000,.000,1,0,0,0,0,0,0,.000,3,0,0,0,1.00,.00,.00,.00,0,,104:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,University Athletic Association (UAA),uaa,New York,"Recio, Julian",Julian,Recio,,479,"Recio, Julian","RECIO,JULIAN",New York,NYU,1186-5264,3,0,13,0,13,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,2,0,0,0,.67,.00,.00,.00,0,,72:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,University Athletic Association (UAA),uaa,New York,"Geist, Ben",Ben,Geist,,479,"Geist, Ben","GEIST,BEN",New York,NYU,1186-5448,3,0,14,0,14,0,0,1,7,3,1,1,0,0,2.33,.33,1.00,.333,.333,0,0,0,0,0,1,0,.000,3,0,0,0,1.00,.00,.00,.00,0,,115:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,University Athletic Association (UAA),uaa,New York,"Saravana, Ashwath",Ashwath,Saravana,,479,"Saravana, Ashwath","SARAVANA,ASHWATH",New York,NYU,1186-5644,2,0,15,0,15,0,0,0,1,0,0,0,0,0,.50,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,35:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
