season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats,pass_stats,receiving_stats,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,kickreturn_stats,puntreturn_stats,interception_return_stats,fumblereturn_stats,fumble_stats,scoring_stats,defense_stats,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,fumble_stats_number,fumble_stats_number_lost,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt,fumblereturn_stats_number,fumblereturn_stats_yards,fumblereturn_stats_touchdowns,fumblereturn_stats_longest_interception_return,composite_score,global_rank,rating
2026-27,football,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Augsburg,"Oseth,Avery",Avery,Oseth,,38,"Oseth,Avery","OSETH,AVERY",Augsburg,AU,1103-13415,1,1,52,52,0,0,LB,0,,,,,,,,0,1,5,6,6,1.0,.0,.0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,127,39,0,0,1,0,1,31.8,,,,,2.9010821241705553,27,94
2026-27,football,Minnesota Intercollegiate Athletic Conference (MIAC),miac,St. Olaf,"Mahoney,Alec",Alec,Mahoney,,615,"Mahoney,Alec","MAHONEY,ALEC",St. Olaf,STO,1117-5321,1,1,16,16,0,0,DB,0,,,,,,,,0,8,1,9,9,.0,.0,.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,91,0,39,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6836774173925413,28,94
2026-27,football,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Saint John's,Trey Feeney,Trey,Feeney,,602,Trey Feeney,"FEENEY,TREY",Saint John's,SJU,1115-8711,1,1,1,1,0,QB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,.0,.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,57,3,386,1,51,36,149.7,7.57,10.72,386.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5633351795895667,29,94
2026-27,football,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Gustavus,"Ginskey,Jacob",Jacob,Ginskey,,266,"Ginskey,Jacob","GINSKEY,JACOB",Gustavus,GAC,1108-9165,1,1,2,2,0,QB,0,0,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8,117,1,26,14.6,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5541870101052533,30,93
2026-27,football,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Saint John's,Vincent Pyne,Vincent,Pyne,,602,Vincent Pyne,"PYNE,VINCENT",Saint John's,SJU,1115-8208,1,1,7,7,0,0,DB,0,,,,,,,,0,7,4,11,11,.0,.0,.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.503802317492023,31,93
2026-27,football,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Bethel,"Viebrock,Teagan",Teagan,Viebrock,,60,"Viebrock,Teagan","VIEBROCK,TEAGAN",Bethel,BET,1104-7783,1,1,22,22,0,WR,0,0,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,5,57,2,30,11.4,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.382367552554041,32,93
2026-27,football,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Saint John's,Matt Hansen,Matt,Hansen,,602,Matt Hansen,"HANSEN,MATT",Saint John's,SJU,1115-8179,1,0,9H,9H,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,5,313,0,1,62.6,1,1,21,0,100.0,3,3,0,0,0,0,0,0,0,0,0,0,3,158,55,0,1,0,3,1,52.7,,,,,2.3227358233901225,33,93
2026-27,football,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Saint John's,Charlie Plum,Charlie,Plum,,602,Charlie Plum,"PLUM,CHARLIE",Saint John's,SJU,1115-7966,1,1,88,88,0,TE,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,59,1,21,8.4,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.201258181312123,34,93
2026-27,football,Minnesota Intercollegiate Athletic Conference (MIAC),miac,St. Scholastica,"Norgbean,Christopher",Christopher,Norgbean,,618,"Norgbean,Christopher","NORGBEAN,CHRISTOPHER",St. Scholastica,CSS,1402-7868,1,1,13,13,0,0,DB,0,,,,,,,,0,5,0,5,5,1.0,.0,.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.192365571549372,35,93
2026-27,football,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Concordia,"Brown,Ezy",Ezy,Brown,,161,"Brown,Ezy","BROWN,EZY",Concordia,CON,0,1,1,18,18,0,0,DB,0,,,,,,,,0,2,0,2,2,.0,.0,.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.148960529894287,36,93
