season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,stats_stats_field_goals_made,stats_stats_field_goals_attempted,stats_stats_three_points_made,stats_stats_three_points_attempted,stats_stats_free_throws_attempted,stats_stats_free_throws_made,stats_stats_points_scored,stats_stats_blocked_shots,stats_stats_steals,stats_stats_assists,stats_stats_minutes_played,stats_stats_offensive_rebounds,stats_stats_defensive_rebounds,stats_stats_total_rebounds,stats_stats_personal_fouls,stats_stats_technical_fouls,stats_stats_turnovers,stats_stats_disqualifications,stats_stats_deadballs,stats_stats_games_played,stats_stats_field_goals_pct,stats_stats_three_points_pct,stats_stats_free_throws_pct,stats_stats_points_per_game,stats_stats_rebounds_per_game,stats_stats_assists_per_game,stats_stats_steals_per_game,stats_stats_blocked_shots_per_game,code
2025-26,wbball,USA South Athletic Conference,usa_south_athletic_confe,Brevard,"Johnson, Somer",Somer,Johnson,0,30094,"Johnson, Somer","JOHNSON,SOMER",Brevard,BRE,614-1757,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3
2025-26,wbball,USA South Athletic Conference,usa_south_athletic_confe,Brevard,"Carnathan, Marlee",Marlee,Carnathan,0,30094,"Carnathan, Marlee","CARNATHAN,MARLEE",Brevard,BRE,614-2363,16,0,4,0,3,15,1,6,8,6,13,2,3,3,104,8,14,22,9,0,13,0,0,16,0.20,0.17,0.75,0.81,1.38,0.19,0.19,0.13,4
2025-26,wbball,USA South Athletic Conference,usa_south_athletic_confe,Brevard,"Hill, Aleysha",Aleysha,Hill,0,30094,"Hill, Aleysha","HILL,ALEYSHA",Brevard,BRE,614-2364,28,19,5,0,46,124,14,55,48,34,140,2,35,66,587,8,43,51,31,0,42,0,0,28,0.37,0.25,0.71,5.00,1.82,2.36,1.25,0.07,5
2025-26,wbball,USA South Athletic Conference,usa_south_athletic_confe,Brevard,"Morris, Analee",Analee,Morris,0,30094,"Morris, Analee","MORRIS,ANALEE",Brevard,BRE,614-2053,28,28,10,0,124,269,42,99,86,73,363,11,27,79,610,27,87,114,41,1,70,0,0,28,0.46,0.42,0.85,12.96,4.07,2.82,0.96,0.39,10
2025-26,wbball,USA South Athletic Conference,usa_south_athletic_confe,Brevard,"Petty-Wilkins, Jada",Jada,Petty-Wilkins,0,30094,"Petty-Wilkins, Jada","PETTY-WILKINS,JADA",Brevard,BRE,614-1477,28,28,11,0,104,349,58,211,78,55,321,10,80,85,816,36,111,147,42,0,57,0,0,28,0.30,0.27,0.71,11.46,5.25,3.04,2.86,0.36,11
2025-26,wbball,USA South Athletic Conference,usa_south_athletic_confe,Brevard,"Watkins, Alisha",Alisha,Watkins,0,30094,"Watkins, Alisha","WATKINS,ALISHA",Brevard,BRE,614-2365,13,0,12,0,8,26,6,22,0,0,22,0,0,3,59,2,6,8,1,0,4,0,0,13,0.31,0.27,0.00,1.69,0.62,0.23,0.00,0.00,12
2025-26,wbball,USA South Athletic Conference,usa_south_athletic_confe,Brevard,"Rankin, Malayka",Malayka,Rankin,0,30094,"Rankin, Malayka","RANKIN,MALAYKA",Brevard,BRE,614-2054,28,3,13,0,55,139,21,65,82,52,183,2,23,28,495,24,48,72,59,0,51,0,0,28,0.40,0.32,0.63,6.54,2.57,1.00,0.82,0.07,13
2025-26,wbball,USA South Athletic Conference,usa_south_athletic_confe,Brevard,"Jean, Kayla",Kayla,Jean,0,30094,"Jean, Kayla","JEAN,KAYLA",Brevard,BRE,614-1756,27,0,14,0,12,39,0,0,9,7,31,4,6,6,217,21,22,43,36,0,15,1,0,27,0.31,0.00,0.78,1.15,1.59,0.22,0.22,0.15,14
2025-26,wbball,USA South Athletic Conference,usa_south_athletic_confe,Brevard,"Noble, Kennedie",Kennedie,Noble,0,30094,"Noble, Kennedie","NOBLE,KENNEDIE",Brevard,BRE,614-1758,27,0,20,0,59,137,12,31,18,10,140,4,28,14,471,41,62,103,24,0,20,0,0,27,0.43,0.39,0.56,5.19,3.81,0.52,1.04,0.15,20
2025-26,wbball,USA South Athletic Conference,usa_south_athletic_confe,Brevard,"Rhone, Christena",Christena,Rhone,0,30094,"Rhone, Christena","RHONE,CHRISTENA",Brevard,BRE,614-1476,27,9,22,0,72,212,53,153,77,59,256,0,40,62,565,15,66,81,45,0,46,0,0,27,0.34,0.35,0.77,9.48,3.00,2.30,1.48,0.00,22
2025-26,wbball,USA South Athletic Conference,usa_south_athletic_confe,Brevard,"Johnson, Kayden",Kayden,Johnson,0,30094,"Johnson, Kayden","JOHNSON,KAYDEN",Brevard,BRE,614-2055,28,24,23,0,131,223,8,27,61,49,319,42,28,50,710,76,107,183,60,0,46,1,0,28,0.59,0.30,0.80,11.39,6.54,1.79,1.00,1.50,23
2025-26,wbball,USA South Athletic Conference,usa_south_athletic_confe,Brevard,"Miller, Olivia",Olivia,Miller,0,30094,"Miller, Olivia","MILLER,OLIVIA",Brevard,BRE,614-1475,28,28,24,0,173,301,7,16,33,22,375,23,58,89,863,63,177,240,41,0,68,0,0,28,0.57,0.44,0.67,13.39,8.57,3.18,2.07,0.82,24
2025-26,wbball,USA South Athletic Conference,usa_south_athletic_confe,Brevard,"Gentry,Kenadi",Kenadi,Gentry,G,30094,"Gentry,Kenadi","GENTRY,KENADI",Brevard,BRE,614-2052,14,0,02,0,13,27,2,10,4,3,31,0,4,8,68,4,6,10,8,0,9,0,0,14,0.48,0.20,0.75,2.21,0.71,0.57,0.29,0.00,02
2025-26,wbball,USA South Athletic Conference,usa_south_athletic_confe,Brevard,"Pettibone,Schuyler",Schuyler,Pettibone,C,30094,"Pettibone,Schuyler","PETTIBONE,SCHUYLER",Brevard,BRE,614-2171,11,1,33,0,2,9,0,0,4,2,6,1,5,3,60,4,8,12,4,0,5,0,0,11,0.22,0.00,0.50,0.55,1.09,0.27,0.45,0.09,33
2025-26,wbball,USA South Athletic Conference,usa_south_athletic_confe,Greensboro,"Reynolds,Kayla",Kayla,Reynolds,G,263,"Reynolds,Kayla","REYNOLDS,KAYLA",Greensboro,GBORO,1177-4628,3,1,01,0,7,17,5,12,5,2,21,0,3,2,43,0,1,1,2,0,4,0,0,3,0.41,0.42,0.40,7.00,0.33,0.67,1.00,0.00,01
2025-26,wbball,USA South Athletic Conference,usa_south_athletic_confe,Greensboro,"Hairston,Jayda",Jayda,Hairston,G,263,"Hairston,Jayda","HAIRSTON,JAYDA",Greensboro,GBORO,1177-4631,25,5,02,0,51,206,40,150,76,51,193,1,33,37,481,18,34,52,11,0,46,0,0,25,0.25,0.27,0.67,7.72,2.08,1.48,1.32,0.04,02
2025-26,wbball,USA South Athletic Conference,usa_south_athletic_confe,Greensboro,"Lakey,Kamdyn",Kamdyn,Lakey,G,263,"Lakey,Kamdyn","LAKEY,KAMDYN",Greensboro,GBORO,1177-4626,26,2,03,0,42,167,24,116,9,6,114,1,27,18,425,17,17,34,14,0,31,0,0,26,0.25,0.21,0.67,4.38,1.31,0.69,1.04,0.04,03
