season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats,shot_stats,goal_stats,caution_stats,misc_stats
2026-27,wsoc,Northern Athletics Collegiate Conference (NACC),nacc,St. Norbert,"Pennings, Mikenzie",Mikenzie,Pennings,,614,"Pennings, Mikenzie","PENNINGS,MIKENZIE",St. Norbert,SNC,1102-4069,2,0,17,0,17,0,0,2,4,0,0,0,0,0,2.00,1.00,.00,.000,.000,2,0,0,0,0,0,0,.000,2,0,0,0,1.00,.00,.00,.00,0,,88:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Northern Athletics Collegiate Conference (NACC),nacc,St. Norbert,"Thomas, Addy",Addy,Thomas,,614,"Thomas, Addy","THOMAS,ADDY",St. Norbert,SNC,1102-3790,3,0,18,0,18,0,0,0,0,1,1,0,0,0,.00,.00,.33,.000,.333,0,0,0,0,0,0,0,.000,6,0,1,0,2.00,.33,.00,.00,0,,102:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Northern Athletics Collegiate Conference (NACC),nacc,St. Norbert,"Hacker, Madi",Madi,Hacker,,614,"Hacker, Madi","HACKER,MADI",St. Norbert,SNC,1102-4070,1,1,19,0,19,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,1.00,.00,.00,.00,0,,71:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Northern Athletics Collegiate Conference (NACC),nacc,St. Norbert,"Names, Abby",Abby,Names,,614,"Names, Abby","NAMES,ABBY",St. Norbert,SNC,1102-3411,3,3,20,0,20,0,0,1,1,2,0,1,0,0,.33,.33,.67,.333,.000,0,0,0,0,1,0,1,.333,1,0,0,0,.33,.00,.00,.00,0,,128:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Northern Athletics Collegiate Conference (NACC),nacc,St. Norbert,"Busch, Shelby",Shelby,Busch,,614,"Busch, Shelby","BUSCH,SHELBY",St. Norbert,SNC,1102-3646,3,3,21,0,21,0,0,2,8,1,1,0,0,0,2.67,.67,.33,.000,.333,2,0,0,0,0,0,0,.000,2,0,0,0,.67,.00,.00,.00,0,,200:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Northern Athletics Collegiate Conference (NACC),nacc,St. Norbert,"Reesman, Aleah",Aleah,Reesman,,614,"Reesman, Aleah","REESMAN,ALEAH",St. Norbert,SNC,1102-3647,3,3,22,0,22,0,0,5,10,3,1,1,1,0,3.33,1.67,1.00,.333,.333,4,0,0,0,0,0,0,.000,4,0,0,0,1.33,.00,.00,.00,0,,263:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Northern Athletics Collegiate Conference (NACC),nacc,St. Norbert,"Daharsh, Emma",Emma,Daharsh,,614,"Daharsh, Emma","DAHARSH,EMMA",St. Norbert,SNC,1102-4071,3,0,23,0,23,0,0,0,1,0,0,0,0,0,.33,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,110:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Northern Athletics Collegiate Conference (NACC),nacc,St. Norbert,"Garrity, Kaelei",Kaelei,Garrity,,614,"Garrity, Kaelei","GARRITY,KAELEI",St. Norbert,SNC,1102-3648,0,0,24,0,24,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Northern Athletics Collegiate Conference (NACC),nacc,St. Norbert,"Garneau, Jaylee",Jaylee,Garneau,,614,"Garneau, Jaylee","GARNEAU,JAYLEE",St. Norbert,SNC,1102-4072,3,0,25,0,25,0,0,3,3,0,0,0,0,0,1.00,1.00,.00,.000,.000,3,0,0,0,0,0,0,.000,2,0,0,0,.67,.00,.00,.00,0,,96:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Northern Athletics Collegiate Conference (NACC),nacc,St. Norbert,"Popelka, Trinity",Trinity,Popelka,,614,"Popelka, Trinity","POPELKA,TRINITY",St. Norbert,SNC,1102-4073,0,0,26,0,26,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
