season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats,composite_score,global_rank,rating
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Earlham,"Sheetz, Sawyer",Sawyer,Sheetz,,195,"Sheetz, Sawyer","SHEETZ,SAWYER",Earlham,EC,1215-1951,3,3,25,0,25,0,0,0,1,0,0,0,0,0,.33,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,2,0,1,0,.67,.33,.00,.00,0,,270:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.1617735617683993,301,56
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Bluffton,"Shields, Andrew",Andrew,Shields,,987,"Shields, Andrew","SHIELDS,ANDREW",Bluffton,BLFTN,0,1,0,26,0,26,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,45:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.1617735617683993,302,56
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Manchester,"Shock, Riley",Riley,Shock,,1192,"Shock, Riley","SHOCK,RILEY",Manchester,MANCHEST,1036-2588,0,0,2,0,2,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.1617735617683993,303,56
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,"Silva, Jaime",Jaime,Silva,,2694,"Silva, Jaime","SILVA,JAIME",Franklin,FRA,1034-2559,0,0,1,0,1,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.1617735617683993,304,56
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,"Simones, Wyatt",Wyatt,Simones,,585,"Simones, Wyatt","SIMONES,WYATT",Rose-Hulman,RHT,1038-5204,3,0,15,0,15,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,42:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.1617735617683993,305,55
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Mount St. Joseph,"Simpson, Ian",Ian,Simpson,,8567,"Simpson, Ian","SIMPSON,IAN",Mount St. Joseph,MSJ,1037-3293,1,0,5,0,5,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,16:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.1617735617683993,306,55
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,"Singh, Eshaan",Eshaan,Singh,,585,"Singh, Eshaan","SINGH,ESHAAN",Rose-Hulman,RHT,1038-5544,0,0,20,0,20,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.1617735617683993,307,55
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Mount St. Joseph,"Slavey, Eric",Eric,Slavey,,8567,"Slavey, Eric","SLAVEY,ERIC",Mount St. Joseph,MSJ,1037-2587,0,0,7,0,7,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.1617735617683993,308,55
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Hanover,"Soto, Mateo",Mateo,Soto,,1115,"Soto, Mateo","SOTO,MATEO",Hanover,HAN,1035-2716,3,3,15,0,15,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,3,0,0,0,1.00,.00,.00,.00,0,,168:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.1617735617683993,309,55
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Bluffton,"Sparks, Landyn",Landyn,Sparks,,987,"Sparks, Landyn","SPARKS,LANDYN",Bluffton,BLFTN,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,05:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.1617735617683993,310,55
