season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,team_name,team_id,sdrm_id,this_is_softball,pitching_stats,pitching_summary_stats,hitting_stats,fielding_stats,hitting_summary_stats,composite_score,global_rank,rating,ranking_segment
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,DeSales,Travis Kerr,Travis,Kerr,,20,Travis Kerr,0,0DESALES,38,38,,,133,44,53,37,16,0,3,23,1,8,16,8,18,5,1,4,0,0,0,2,0,4,0,0.500,78,169,23,.783,.398,.586,53,0,1,0,0,0,0,0,0,54,.981,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,34,27,"10,37",0.27,10,37,"35,80",0.44,35,80,"19,46",0.41,19,46,"7,21",0.33,7,21,0,0,0,0,"26,42","16,19","59,88",63,0,0,0,0,0,0,0,17,23,0,,,,,,,,,DeSales,DESALES,0,False,,,,,,7.779089085236059,11,96,batting
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,DeSales,Jacob Rivera,Jacob,Rivera,,20,Jacob Rivera,0,0DESALES,27,27,,,81,26,34,26,6,1,2,20,0,4,14,7,4,4,2,1,0,0,0,1,1,1,0,0.547,48,108,8,.500,.420,.593,180,8,5,0,0,3,0,9,0,193,.974,3,1.000,8,1,3,0,1,0,0,0,0,0,8.1,9,7,8,9,3,0,1,7.56,34,42,1,0,0,0,0,0,0,5,.235,1,3,17,17,"11,26",0.42,11,26,"22,43",0.51,22,43,"16,32",0.50,16,32,"5,8",0.63,5,8,0,0,0,0,"13,21","11,15","38,53",111,0,0,0,0,0,0,0,10,5,0,7,8,0,"3,4","3,9","1,4",0,"1,4",DeSales,DESALES,0,False,,,,,,7.7323846138851025,12,96,batting
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,York,Lucas Prendergast,Lucas,Prendergast,,815,Lucas Prendergast,0,0YC,45,45,,,166,51,58,39,17,1,6,23,0,18,21,5,5,1,2,3,0,0,0,1,1,2,0,0.471,95,212,6,.833,.349,.572,96,106,15,0,0,0,0,20,0,217,.931,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,52,38,"12,37",0.32,12,37,"27,66",0.41,27,66,"18,42",0.43,18,42,"12,36",0.33,12,36,0,0,0,0,"39,81","11,14","51,80",132,0,0,0,0,0,0,0,15,22,0,,,,,,,,,York,YC,0,False,,,,,,7.568861214852204,13,95,batting
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,Stevens,Chip Krese,Chip,Krese,,679,Chip Krese,0,0STEVENS,28,28,,,103,30,37,31,8,2,6,14,0,6,18,5,8,3,1,3,0,0,0,0,1,1,0,0.452,67,127,11,.727,.359,.650,44,88,11,0,0,0,0,8,0,143,.923,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,14,37,"15,43",0.35,15,43,"19,51",0.37,19,51,"15,42",0.36,15,42,"2,5",0.40,2,5,0,0,0,0,"12,32","6,8","38,66",69,0,0,0,0,0,0,0,10,33,0,,,,,,,,,Stevens,STEVENS,0,False,,,,,,7.485657520807244,14,95,batting
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,Arcadia,Joshua Agriesti,Joshua,Agriesti,,966,Joshua Agriesti,0,0AUBB,38,36,,,133,32,47,47,11,0,5,15,1,8,18,4,0,0,0,2,0,0,0,5,0,6,0,0.443,73,158,0,.000,.353,.549,218,11,4,0,0,0,0,15,0,233,.983,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,31,34,"18,40",0.45,18,40,"36,84",0.43,36,84,"23,53",0.43,23,53,"7,17",0.41,7,17,0,0,0,0,"12,28","16,20","65,99",80,0,0,0,"0,1",0,0,1,15,26,0,,,,,,,,,Arcadia,AUBB,0,False,,,,,,7.2445447111369585,15,95,batting
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,York,Michael Tinneny,Michael,Tinneny,,815,Michael Tinneny,0,0YC,45,45,,,165,40,60,42,9,3,4,30,0,10,15,4,0,2,0,5,0,0,0,3,1,5,0,0.476,87,210,2,.000,.364,.527,42,101,10,0,0,0,0,15,0,153,.935,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,53,36,"20,57",0.35,20,57,"35,85",0.41,35,85,"25,62",0.40,25,62,"14,39",0.36,14,39,0,0,0,0,"13,35","15,17","68,102",73,0,0,0,0,0,0,0,19,31,0,,,,,,,,,York,YC,0,False,,,,,,6.994986362799198,16,94,batting
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,Eastern,Luke Meehan,Luke,Meehan,,8968,Luke Meehan,0,0EASTERN,39,39,,,155,26,62,35,14,2,3,13,0,4,11,2,8,3,0,3,0,0,0,1,1,2,0,0.451,89,175,11,.727,.400,.574,167,14,2,0,0,0,0,6,0,183,.989,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,20,58,"19,49",0.39,19,49,"30,82",0.37,30,82,"22,56",0.39,22,56,"15,32",0.47,15,32,0,0,0,0,"15,29","14,18","47,91",177,0,0,0,0,0,0,0,6,31,0,,,,,,,,,Eastern,EASTERN,0,False,,,,,,6.679777277349204,17,94,batting
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,DeSales,Shane Anhalt,Shane,Anhalt,,20,Shane Anhalt,0,0DESALES,22,10,,,39,12,17,11,1,0,1,12,0,2,4,2,2,1,0,0,0,0,0,3,0,4,0,0.585,21,53,3,.667,.436,.538,79,2,2,0,0,0,0,6,0,83,.976,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,11,6,"5,10",0.50,5,10,"13,27",0.48,13,27,"10,15",0.67,10,15,"3,11",0.27,3,11,0,0,0,0,"6,13","5,7","18,31",1,0,0,0,36,0,0,0,0,8,0,,,,,,,,,DeSales,DESALES,0,False,,,,,,6.482167962314023,18,94,batting
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,Arcadia,Max Oswald,Max,Oswald,,966,Max Oswald,0,0AUBB,41,39,,,136,39,46,25,11,0,6,32,0,12,37,16,4,1,4,0,0,0,0,0,2,1,0,0.500,75,184,5,.800,.338,.551,85,2,3,0,0,0,0,1,0,90,.967,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,20,31,"10,38",0.26,10,38,"23,73",0.32,23,73,"12,48",0.25,12,48,"13,21",0.62,13,21,0,0,0,0,"17,35","6,15","47,90",111,0,0,0,0,0,0,0,8,38,0,,,,,,,,,Arcadia,AUBB,0,False,,,,,,6.473882574708159,19,94,batting
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,Arcadia,Anthony Bruno,Anthony,Bruno,,966,Anthony Bruno,0,0AUBB,45,45,,,182,42,66,36,21,0,5,19,5,5,39,6,1,1,0,1,0,0,0,3,0,5,0,0.435,102,207,2,.500,.363,.560,1,0,0,0,0,0,0,0,0,1,1.000,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,33,40,"20,60",0.33,20,60,"33,107",0.31,33,107,"21,66",0.32,21,66,"10,26",0.38,10,26,0,0,0,0,"17,32","10,16","51,110",273,0,0,0,0,0,0,0,12,36,0,,,,,,,,,Arcadia,AUBB,0,False,,,,,,6.447042151592374,20,93,batting
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,Widener,Jack Balcer,Jack,Balcer,,783,Jack Balcer,0,0WIDENER,40,40,,,168,30,64,37,19,3,4,7,0,2,22,9,5,2,0,1,0,0,0,1,1,2,0,0.410,101,178,7,.714,.381,.601,42,3,2,0,0,0,0,2,0,47,.957,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,43,35,"23,53",0.43,23,53,"32,67",0.48,32,67,"22,45",0.49,22,45,"15,39",0.38,15,39,0,0,0,0,"22,62","4,5","41,71",86,0,0,0,0,0,0,0,10,33,0,,,,,,,,,Widener,WIDENER,0,False,,,,,,6.440994157452916,21,93,batting
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,Messiah,"Reid, Carter",Carter,Reid,,411,"Reid, Carter",0,0MESSIAH,29,4,,,35,12,13,15,1,0,3,8,0,1,13,6,6,0,0,1,0,0,0,0,1,0,0,0.489,23,45,6,1.000,.371,.657,2,3,1,0,0,0,0,1,0,6,.833,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,8,"5,15",0.33,5,15,"9,23",0.39,9,23,"7,16",0.44,7,16,"3,9",0.33,3,9,0,0,0,0,"3,8","5,8","14,28",73,0,0,0,428,0,0,0,2,10,0,,,,,,,,,Messiah,MESSIAH,0,False,,,,,,5.913629384615778,22,93,batting
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,Messiah,"Gordon, Jarrett",Jarrett,Gordon,,411,"Gordon, Jarrett",0,0MESSIAH,53,53,,,197,43,62,48,13,1,6,13,0,19,40,7,18,1,3,1,0,0,0,0,2,1,0,0.409,95,233,19,.947,.315,.482,75,113,14,0,0,0,0,27,0,202,.931,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,37,53,"12,58",0.21,12,58,"38,110",0.35,38,110,"27,78",0.35,27,78,"15,39",0.38,15,39,0,0,0,0,"15,35","23,31","65,121",226,0,0,0,0,0,0,0,20,52,0,,,,,,,,,Messiah,MESSIAH,0,False,,,,,,5.796896418190908,23,93,batting
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,Stevenson,Collin Palmeiri,Collin,Palmeiri,,21852,Collin Palmeiri,0,0STEVENSO,36,33,,,114,14,48,22,7,5,0,19,0,2,10,5,5,2,2,2,1,0,0,0,0,2,0,0.504,65,140,7,.714,.421,.570,56,37,7,0,0,0,0,6,0,100,.930,0,.000,0,1,0,0,0,0,0,0,0,0,0.1,0,0,1,0,0,0,0,0.00,1,2,0,0,0,0,0,0,0,0,.000,2,2,38,19,"26,48",0.54,26,48,"24,57",0.42,24,57,"15,36",0.42,15,36,"10,23",0.43,10,23,0,0,0,0,"10,23","8,10","44,67",27,0,0,0,"0,1",0,0,1,18,16,0,1,0,0,0,"0,1","0,1",0,"0,1",Stevenson,STEVENSO,0,False,,,,,,5.694115534240351,24,92,batting
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,DeSales,Gavin Zavorski,Gavin,Zavorski,,20,Gavin Zavorski,0,0DESALES,37,36,,,129,40,42,33,6,1,6,22,1,6,28,9,10,2,1,2,0,0,0,2,0,2,0,0.440,68,160,12,.833,.326,.527,217,30,6,3,0,38,17,2,0,253,.976,55,.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,31,30,"12,37",0.32,12,37,"25,75",0.33,25,75,"19,54",0.35,19,54,"2,12",0.17,2,12,0,0,0,0,"15,35","11,20","50,89",90,0,0,0,0,0,0,0,11,24,0,,,,,,,,,DeSales,DESALES,0,False,,,,,,5.677503207675453,25,92,batting
