conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,softball,UW-Eau Claire,Kenna Struns,,,,45,45,155,55,65,30,10,1,3,18,0,0,2,1,33,1,7,0,0,0,0,0,0,1,0,0.480,86,180,34,.971,.419,.555,49,5,3,0,0,0,0,1,0,57,.947,0,.000,3,7,41,49,"13,41",0.32,13,41,"33,77",0.43,33,77,"18,44",0.41,18,44,"3,7",0.43,3,7,0,0,0,0,"37,64","9,12","53,87",133,0,0,0,0,0,0,0,15,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,softball,UW-Eau Claire,Paige Lathro,,,,45,45,156,43,69,27,3,2,0,9,1,3,21,6,26,4,2,0,0,0,0,0,1,0,0,0.482,76,170,30,.867,.442,.487,52,2,0,0,0,0,0,1,0,54,1.000,0,.000,5,6,35,25,"18,44",0.41,18,44,"44,93",0.47,44,93,"38,71",0.54,38,71,"3,6",0.50,3,6,0,0,0,0,"14,22","10,17","62,97",141,0,0,0,0,0,0,0,16,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,softball,UW-Eau Claire,Molly Marqua,,,,44,44,138,23,55,51,24,1,7,19,1,2,11,1,1,0,1,1,0,0,0,1,0,2,0,0.475,102,161,1,1.000,.399,.739,49,89,12,1,0,16,1,3,0,150,.920,17,.941,1,5,30,43,"17,43",0.40,17,43,"42,90",0.47,42,90,"29,67",0.43,29,67,"0,1",0,0,1,0,0,0,0,"5,22","12,25","55,99",196,0,0,0,45,0,0,0,7,24,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,0,0
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,softball,UW-Eau Claire,Breann Blanc,,,,24,1,2,13,1,1,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0.667,1,3,5,1.000,.500,.500,0,0,0,0,0,0,0,0,0,0,0.000,0,.000,0,0,0,0,0,0,0,0,"1,1",1.00,1,1,"1,1",1.00,1,1,0,0,0,0,0,0,0,0,0,0,"1,1",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,softball,UW-Eau Claire,Claire Beck,,,,37,37,121,11,35,32,4,0,6,5,0,3,19,8,0,0,2,0,0,0,0,0,0,0,0,0.333,57,131,0,.000,.289,.471,6,15,0,0,0,15,3,0,0,21,1.000,18,.833,2,5,32,36,"7,32",0.22,7,32,"22,79",0.28,22,79,"22,64",0.34,22,64,"0,2",0,0,2,0,0,0,0,"9,22","8,14","42,83",110,0,0,0,147,0,0,0,20,27,0,85,1,15,8,4,0,3,1,0,0,77.2,59,43,31,51,16,0,8,3.88,314,372,6,11,0,0,16,0,0,9,.271,79,96,0,"2,2","1,6","1,1",0,"1,2"
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,softball,UW-Eau Claire,Siri Springe,,,,27,14,43,11,11,4,3,0,0,13,1,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0.448,14,58,0,.000,.256,.326,66,10,5,0,0,0,0,4,0,81,.938,0,.000,1,2,12,13,"2,14",0.14,2,14,"5,22",0.23,5,22,"3,16",0.19,3,16,"1,4",0.25,1,4,0,0,0,0,"7,12","2,3","9,24",6,0,0,0,195,0,0,0,2,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,softball,UW-Eau Claire,Ella Henders,,,,18,13,40,3,9,2,1,0,0,3,0,1,4,2,2,0,2,0,0,0,0,0,0,0,0,0.295,10,46,2,1.000,.225,.250,34,24,2,0,0,0,0,1,0,60,.967,0,.000,1,2,13,15,"3,20",0.15,3,20,"4,24",0.17,4,24,"2,14",0.14,2,14,0,0,0,0,0,0,0,0,"2,5","2,4","10,28",83,0,0,0,57,0,0,0,4,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,softball,UW-Eau Claire,Hailey Haged,,,,27,22,68,13,18,16,6,0,3,4,0,1,11,4,0,0,3,1,0,0,0,0,0,0,0,0.311,33,77,0,.000,.265,.485,136,8,3,0,0,0,0,2,0,147,.980,0,.000,3,1,17,24,"3,26",0.12,3,26,"12,35",0.34,12,35,"9,24",0.38,9,24,"1,1",1.00,1,1,0,0,0,0,"4,20","3,5","20,39","1,1",1.00,1,1,7,0,0,0,5,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,softball,UW-Eau Claire,Miranda Gern,,,,28,19,53,8,14,10,0,0,0,5,0,1,6,1,2,1,0,0,0,0,0,0,0,0,0,0.339,14,59,3,.667,.264,.264,17,0,1,0,0,0,0,0,0,18,.944,0,.000,3,1,16,13,"5,21",0.24,5,21,"13,30",0.43,13,30,"8,19",0.42,8,19,"1,2",0.50,1,2,0,0,0,0,"2,12","3,5","18,32",128,0,0,0,80,0,0,0,1,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,softball,UW-Eau Claire,Mila Photopo,,,,24,17,57,3,22,12,1,0,0,3,0,0,6,1,1,0,2,2,0,0,0,0,0,1,0,0.403,23,64,1,1.000,.386,.404,117,5,0,0,0,0,0,2,0,122,1.000,0,.000,2,1,17,14,"6,22",0.27,6,22,"13,31",0.42,13,31,"9,21",0.43,9,21,"0,2",0,0,2,0,0,0,0,"4,11","7,8","23,37",81,0,0,0,101,0,0,0,9,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
