season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats,composite_score,global_rank,rating
2026-27,msoc,Atlantic East Conference (AEC),aec,Centenary (NJ),"Brown, Jayron",Jayron,Brown,,12884,"Brown, Jayron","BROWN,JAYRON",Centenary (NJ),CENTEN,1331-3911,2,0,7,0,7,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,39:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,54,84
2026-27,msoc,Atlantic East Conference (AEC),aec,Gwynedd Mercy Univ.,"Burns, Ryan",Ryan,Burns,,12399,"Burns, Ryan","BURNS,RYAN",Gwynedd Mercy Univ.,GMU,1305-2518,2,0,9,0,9,0,0,0,1,0,0,0,0,0,.50,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,45:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,55,84
2026-27,msoc,Atlantic East Conference (AEC),aec,Saint Elizabeth University,"Cardenas, Joshua",Joshua,Cardenas,,9684,"Cardenas, Joshua","CARDENAS,JOSHUA",Saint Elizabeth University,SEU,0,0,0,99,0,99,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,56,83
2026-27,msoc,Atlantic East Conference (AEC),aec,Marymount (VA),"Cerritos, Danny",Danny,Cerritos,,394,"Cerritos, Danny","CERRITOS,DANNY",Marymount (VA),MARY,658-2486,3,0,69,0,69,0,0,0,1,0,0,0,0,0,.33,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,48:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,57,83
2026-27,msoc,Atlantic East Conference (AEC),aec,Marymount (VA),"Chavez, Brandon",Brandon,Chavez,,394,"Chavez, Brandon","CHAVEZ,BRANDON",Marymount (VA),MARY,658-2267,1,0,17,0,17,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,20:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,58,83
2026-27,msoc,Atlantic East Conference (AEC),aec,Marymount (VA),"Chavez, David",David,Chavez,,394,"Chavez, David","CHAVEZ,DAVID",Marymount (VA),MARY,658-2488,0,0,35,0,35,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,59,83
2026-27,msoc,Atlantic East Conference (AEC),aec,Marymount (VA),"Claros, Joel",Joel,Claros,,394,"Claros, Joel","CLAROS,JOEL",Marymount (VA),MARY,658-1909,3,1,2,0,2,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,2,0,0,0,.67,.00,.00,.00,0,,144:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,60,82
2026-27,msoc,Atlantic East Conference (AEC),aec,Immaculata,"Coleman, Kyle",Kyle,Coleman,,303,"Coleman, Kyle","COLEMAN,KYLE",Immaculata,IMM,1306-3335,1,1,4,0,4,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,15:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,61,82
2026-27,msoc,Atlantic East Conference (AEC),aec,Marymount (VA),"Collantes Gasco, Luis",Luis,Collantes Gasco,,394,"Collantes Gasco, Luis","COLLANTES GASCO,LUIS",Marymount (VA),MARY,658-2083,3,3,6,0,6,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,2,0,0,0,.67,.00,.00,.00,0,,171:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,62,82
2026-27,msoc,Atlantic East Conference (AEC),aec,Saint Elizabeth University,"Cortes, Eliezer",Eliezer,Cortes,,9684,"Cortes, Eliezer","CORTES,ELIEZER",Saint Elizabeth University,SEU,0,2,2,5,0,5,0,0,0,1,0,0,0,0,0,.50,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,87:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,63,82
