season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,shot_stats,goal_stats,caution_stats,misc_stats,composite_score,global_rank,rating
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Ramapo,Olivia Cirianni,Olivia,Cirianni,,564,Olivia Cirianni,"CIRIANNI,OLIVIA",Ramapo,RAMAPO,1152-4526,1,0,26,0,26,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,21:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,223,61
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Montclair State,"Orellana, Sophia",Sophia,Orellana,,442,"Orellana, Sophia","ORELLANA,SOPHIA",Montclair State,MSU,1149-14957,3,3,20,0,20,0,0,0,1,0,0,0,0,0,.33,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,1,0,.00,.33,.00,.00,0,,199:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,224,61
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Stockton,"Ormsby, Billie",Billie,Ormsby,,681,"Ormsby, Billie","ORMSBY,BILLIE",Stockton,STO,1153-2477,1,0,26,0,26,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,1,0,.00,1.00,.00,.00,0,,09:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,225,61
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Rutgers-Camden,"Ortiz, Caitlyn",Caitlyn,Ortiz,,588,"Ortiz, Caitlyn","ORTIZ,CAITLYN",Rutgers-Camden,RUT,1155-5181,2,0,3,0,3,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,22:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,226,61
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,William Paterson,"Ossimina, Brooke",Brooke,Ossimina,,787,"Ossimina, Brooke","OSSIMINA,BROOKE",William Paterson,WPU,1164-3075,2,1,19,0,19,0,0,0,1,0,0,0,0,0,.50,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,131:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,227,61
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Kean,"Ostroski, Kaylee",Kaylee,Ostroski,,329,"Ostroski, Kaylee","OSTROSKI,KAYLEE",Kean,Kean,1148-7344,0,0,31,0,31,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,228,61
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Rutgers-Camden,"Owens, Charlotte",Charlotte,Owens,,588,"Owens, Charlotte","OWENS,CHARLOTTE",Rutgers-Camden,RUT,1155-5433,2,0,19,0,19,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,51:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,229,61
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Stockton,"Pasqua, Danielle",Danielle,Pasqua,,681,"Pasqua, Danielle","PASQUA,DANIELLE",Stockton,STO,1153-2837,0,0,6,0,6,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,230,60
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Rutgers-Camden,"Patino, Ana",Ana,Patino,,588,"Patino, Ana","PATINO,ANA",Rutgers-Camden,RUT,1155-5301,0,0,10,0,10,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,231,60
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Rutgers-Newark,"Patti, Naina",Naina,Patti,,589,"Patti, Naina","PATTI,NAINA",Rutgers-Newark,RUN,1161-2390,0,0,17,0,17,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,232,60
