conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Jacks,Karsen",0,G,12,5,5,13,30,3,7,31,23,52,0,11,16,139,7,17,24,7,0,15,0,0,0.43,0.43,0.74,10.40,4.80,3.20,2.20,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Gaskill,Macy",0,G,13,8,0,6,24,1,10,3,0,13,1,3,2,70,2,5,7,4,0,3,0,0,0.25,0.10,0.00,1.63,0.88,0.25,0.38,0.13
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Darensbourg,Megan",0,G,14,5,0,3,6,0,2,0,0,6,0,1,2,15,2,2,4,4,0,0,0,0,0.50,0.00,0.00,1.20,0.80,0.40,0.20,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Grimsley,Reagan",0,G,21,26,1,31,79,1,6,29,21,84,15,9,35,384,7,52,59,43,0,32,0,0,0.39,0.17,0.72,3.23,2.27,1.35,0.35,0.58
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Christian,Morgan",0,G,22,25,0,21,51,3,8,10,7,52,1,29,45,343,14,36,50,22,0,27,0,0,0.41,0.38,0.70,2.08,2.00,1.80,1.16,0.04
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Paup,Doryn",0,F,24,26,25,72,151,0,1,24,16,160,13,20,35,496,17,121,138,37,0,42,0,0,0.48,0.00,0.67,6.15,5.31,1.35,0.77,0.50
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Schnormeier,Mollie",0,F,31,4,0,4,8,3,5,0,0,11,0,0,1,11,2,1,3,1,0,0,0,0,0.50,0.60,0.00,2.75,0.75,0.25,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Levings,Ava",0,G,34,24,0,21,43,5,13,10,7,54,1,14,25,196,2,14,16,20,0,18,0,0,0.49,0.38,0.70,2.25,0.67,1.04,0.58,0.04
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Street,Elle",0,G,40,26,21,45,139,9,39,62,47,146,10,53,76,718,25,64,89,45,0,54,1,0,0.32,0.23,0.76,5.62,3.42,2.92,2.04,0.38
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Rust,Erica",0,F,41,5,0,5,8,0,0,0,0,10,1,0,1,18,1,3,4,3,0,0,0,0,0.63,0.00,0.00,2.00,0.80,0.20,0.00,0.20
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Anderson,Ella",0,F,42,26,26,113,183,8,26,43,25,259,4,40,39,800,74,99,173,31,0,37,0,0,0.62,0.31,0.58,9.96,6.65,1.50,1.54,0.15
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"McCormick,Keira",0,C,43,23,0,68,139,0,0,33,24,160,33,21,6,228,26,56,82,39,0,20,0,0,0.49,0.00,0.73,6.96,3.57,0.26,0.91,1.43
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Hansen,Taylor",0,G,44,26,26,89,217,33,92,73,62,273,2,22,40,703,25,58,83,47,0,44,0,0,0.41,0.36,0.85,10.50,3.19,1.54,0.85,0.08
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Weaver,Leah",0,F,45,14,0,5,14,4,8,0,0,14,1,2,5,93,2,6,8,9,0,6,0,0,0.36,0.50,0.00,1.00,0.57,0.36,0.14,0.07
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Mertes,Jachin",0,G,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Kasperbauer,Michael",0,G,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Huston,Bo",0,G,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Averill,Isaac",0,G,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Seuferer,Camden",0,F,04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Dzolota,Mateo",0,G,05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Cahill,Calix",0,F,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Holley,Spencer",0,G,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Daedlow,Preston",0,G,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Gurwell,Levi",0,G,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Rasmussen,Colton",0,G,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Gipple,Seth",0,F,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"McDonald,Nolan",0,G,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Hughes,Hunter",0,G,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Henderson,Cam",0,G,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Dyvig,Caleb",0,G,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Fuller,Brogan",0,G,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Conner,Brady",0,F,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Haupert,Marcus",0,F,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Winter,Nathaniel",0,G,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Kowalski,Logan",0,F,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"White,Averie",0,G,25,3,0,0,4,0,2,0,0,0,0,1,0,10,1,0,1,0,0,0,0,0,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Ackerman,Zoe",0,G,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"DeSchepper,Izzy",0,G,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Hughes,Makenzie",0,G,92,6,0,2,6,1,3,0,0,5,0,2,1,20,0,2,2,0,0,1,0,0,0.33,0.33,0.00,0.83,0.33,0.17,0.33,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Johnson,Joelle",0,G,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Jones,Alyssa",0,G,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Kruse,Addie",0,G,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"McGuire,Abbey",0,F,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Wilberding,Samantha",0,F,99,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Nickle,Breya",0,F,55,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Coe,"Kravig,Taryn",0,G,01,26,26,87,209,49,121,44,36,259,5,19,72,764,21,62,83,41,0,57,1,0,0.42,0.40,0.82,9.96,3.19,2.77,0.73,0.19
arc,American Rivers Conference (ARC),2025-26,wbball,Coe,"Ehlenbach,Maddie",0,G,02,1,0,1,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Coe,"Thompson,Mariah",0,G,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Coe,"Kirkham,Caydee",0,G,04,26,26,185,393,49,127,91,79,498,0,40,148,893,19,129,148,51,2,94,0,0,0.47,0.39,0.87,19.15,5.69,5.69,1.54,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Coe,"Langenberg,Carly",0,G,10,9,0,4,6,0,2,1,0,8,1,3,2,35,1,2,3,4,0,2,0,0,0.67,0.00,0.00,0.89,0.33,0.22,0.33,0.11
arc,American Rivers Conference (ARC),2025-26,wbball,Coe,"Smith,Katie",0,G,11,16,1,4,20,0,7,9,6,14,2,1,2,87,4,11,15,8,0,5,0,0,0.20,0.00,0.67,0.88,0.94,0.13,0.06,0.13
