season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,hitting_summary_stats,fielding_stats
2026-27,baseball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Platteville,Trinity Beland,Trinity,Beland,,800,Trinity Beland,0,0UWP,19,19,,,77,23,30,22,7,2,4,6,0,14,7,2,2,2,1,3,0,0,0,0,2,0,0,0.500,53,101,4,.500,.390,.688,35,0,2,0,0,0,0,0,0,37,.946,0,.000,,2,2,15,28,"10,24",0.42,10,24,"11,32",0.34,11,32,"8,24",0.33,8,24,"9,22",0.41,9,22,0,0,0,0,"13,31","8,10","27,43",5,0,0,0,0,0,0,0,10,17,0,,UW-Platteville,UWP,1132-2691,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Platteville,Caleb Parker,Caleb,Parker,,800,Caleb Parker,0,0UWP,6,6,,,25,6,10,9,4,0,1,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0.448,17,29,2,1.000,.400,.680,6,10,0,0,0,0,0,1,0,16,1.000,0,.000,,2,2,10,4,"4,6",0.67,4,6,"5,12",0.42,5,12,"4,8",0.50,4,8,"3,9",0.33,3,9,0,0,0,0,"6,6","1,2","9,13",1,0,0,0,0,0,0,0,3,1,0,,UW-Platteville,UWP,1132-201,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Platteville,Anthony Massa,Anthony,Massa,,800,Anthony Massa,0,0UWP,19,19,,,84,26,37,37,11,0,7,6,0,3,12,4,3,0,0,1,0,0,0,3,0,3,0,0.489,69,94,3,1.000,.440,.821,21,30,6,0,0,0,0,1,0,57,.895,0,.000,,2,4,19,14,"17,32",0.53,17,32,"26,60",0.43,26,60,"18,39",0.46,18,39,"10,19",0.53,10,19,0,0,0,0,"7,13","8,14","34,62",58,0,0,0,0,0,0,0,6,18,0,,UW-Platteville,UWP,1132-2699,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Platteville,Tarron Bockhop,Tarron,Bockhop,,800,Tarron Bockhop,0,0UWP,9,9,,,33,12,9,9,2,0,2,10,0,0,8,3,0,0,0,0,0,0,0,0,0,1,0,0.442,17,43,0,.000,.273,.515,6,4,3,0,0,0,0,1,0,13,.769,0,.000,,0,0,4,12,"3,15",0.20,3,15,"6,19",0.32,6,19,"4,12",0.33,4,12,"1,10",0.10,1,10,0,0,0,0,"1,7","3,4","12,24","1,1",1.00,1,1,0,0,0,0,4,13,0,,UW-Platteville,UWP,1132-189,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Platteville,Xander Martinez,Xander,Martinez,,800,Xander Martinez,0,0UWP,8,5,,,12,4,2,1,1,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.500,3,20,0,.000,.167,.250,1,1,0,0,0,0,0,1,0,2,1.000,0,.000,,0,2,4,4,"1,2",0.50,1,2,"0,4",0,0,4,"0,2",0,0,2,"0,2",0,0,2,0,0,0,0,"2,6","1,2","5,8",0,0,0,0,"0,1",0,0,1,0,0,0,,UW-Platteville,UWP,1132-2698,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Platteville,Spencer Robertson,Spencer,Robertson,,800,Spencer Robertson,0,0UWP,9,6,,,20,9,5,3,2,0,1,9,0,0,4,3,3,1,0,0,0,0,0,0,0,0,0,0.483,10,29,4,.750,.250,.500,6,0,0,0,0,0,0,0,0,6,1.000,0,.000,,0,0,1,10,"0,4",0,0,4,"3,12",0.25,3,12,"2,6",0.33,2,6,"0,4",0,0,4,0,0,0,0,"4,7","1,3","6,15",0,0,0,0,0,0,0,0,0,2,0,,UW-Platteville,UWP,1132-183,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Platteville,Kaleb Elwood,Kaleb,Elwood,,800,Kaleb Elwood,0,0UWP,19,19,,,78,33,33,9,9,0,1,15,0,1,10,5,3,0,1,0,0,0,0,2,0,2,0,0.521,45,95,3,1.000,.423,.577,43,30,4,3,0,1,1,2,0,77,.948,2,.500,,4,3,14,18,"4,19",0.21,4,19,"15,43",0.35,15,43,"9,24",0.38,9,24,"7,18",0.39,7,18,0,0,0,0,"10,13","3,8","28,51",40,0,0,0,0,0,0,0,2,18,0,,UW-Platteville,UWP,1132-3050,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Platteville,Mason Molitor,Mason,Molitor,,800,Mason Molitor,0,0UWP,19,19,,,71,18,21,22,7,0,2,11,0,6,13,3,1,0,0,0,0,0,0,2,0,2,0,0.432,34,88,1,1.000,.296,.479,132,5,1,0,0,0,0,4,0,138,.993,0,.000,,7,4,19,12,"5,21",0.24,5,21,"15,44",0.34,15,44,"13,31",0.42,13,31,"5,16",0.31,5,16,0,0,0,0,"6,18","5,9","27,53",13,0,0,0,0,0,0,0,0,16,0,,UW-Platteville,UWP,1132-179,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Platteville,Dylan Rippentrop,Dylan,Rippentrop,,800,Dylan Rippentrop,0,0UWP,15,15,,,55,14,16,10,2,1,0,8,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0.369,20,65,1,1.000,.291,.364,19,3,0,0,0,0,0,0,0,22,1.000,0,.000,,1,5,21,15,"8,24",0.33,8,24,"12,39",0.31,12,39,"8,29",0.28,8,29,"3,12",0.25,3,12,0,0,0,0,"2,6","6,7","22,44",2,0,0,0,0,0,0,0,5,25,0,,UW-Platteville,UWP,1132-203,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Platteville,Brayden Knoll,Brayden,Knoll,,800,Brayden Knoll,0,0UWP,18,18,,,70,19,30,24,3,0,5,5,0,4,11,4,8,3,1,1,0,0,0,1,1,1,0,0.488,48,81,11,.727,.429,.686,54,1,2,0,0,0,0,0,0,57,.965,0,.000,,5,4,13,14,"10,22",0.45,10,22,"17,42",0.40,17,42,"12,26",0.46,12,26,"6,16",0.38,6,16,0,0,0,0,"5,13","8,10","28,47",121,0,0,0,0,0,0,0,6,13,0,,UW-Platteville,UWP,1132-3055,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
