rank,conference_code,conference,season,team,player_name,class_year,position,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
48,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Stout,"Stauffacher,Nolan",0,F,26,15.192307692307692,3.15,2.62,0.38,0.58,0.92,0.6153846153846154,-1.7555051112505617,-1.0503662006292942,-0.436071349723716,-0.9948144444283633,-0.3548010868043679,1.6762178650924302,-0.857673695963064
49,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Eau Claire,"Demovsky,Roan",0,G,25,17.2,5.44,1.88,2.04,0.56,0.16,1.32,-1.7789191942692417,-0.564229697468117,-0.8539228675011029,0.8297936629866517,-0.4059743204780745,-0.36358611249656464,0.3109864246069651
50,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Stevens Point,"Raimer,Max",0,G,26,18.26923076923077,5.23,1.62,0.58,0.58,0.08,0.3461538461538461,-1.8838025910138476,-0.6088099008147753,-1.000735562936401,-0.7749821423301688,-0.3548010868043679,-0.5783023206638273,-1.304214135045499
51,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Stevens Point,"Moore,Isaiah",0,G,20,14.55,4.6,3.1,0.65,0.7,0.05,0.75,-1.93502088710056,-0.7425505108547499,-0.16503252738162724,-0.6980408365958006,-0.04776168476212656,-0.6588208987265508,-0.6344034764218467
52,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Platteville,"Lucey,Max",0,F,26,16.615384615384617,3.77,1.96,1.08,0.46,0.19,0.3076923076923077,-1.9394522076666754,-0.9187484574153513,-0.8087497304440882,-0.22540138708468224,-0.6618404888466091,-0.2830675344338412,-1.3680056263429894
53,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-La Crosse,"Crowley,Jack",0,G,21,19.285714285714285,5.52,1.95,0.29,0.43,0.14,0.3333333333333333,-1.9477386523492468,-0.5472467628598665,-0.814396372576215,-1.0937389803725508,-0.7386003393571694,-0.41726516453838025,-1.3254779654779958
54,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Stevens Point,"Manz,Grant",0,F,26,11.923076923076923,3.85,2.77,1.04,0.31,0.35,0.6538461538461539,-2.0525804073033997,-0.9017655228071005,-0.3513717177418133,-0.2693678475043212,-1.0456397413994107,0.14636488190068397,-0.7938822046655734
55,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Whitewater,"Berezowitz,Joey",0,G,27,12.77777777777778,2.93,1.07,1.19,1.04,0.07,0.4074074074074074,-2.1145777490669833,-1.097069270801984,-1.3113008802033777,-0.10449362093067537,0.8221832876908908,-0.605141846684735,-1.2026202785346802
56,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-River Falls,"Tengblad,Reid",0,F,25,10.88,4.44,2.44,0.52,0.28,0.72,0.84,-2.1214636930749147,-0.7765163800712512,-0.5377109081019994,-0.8409318329596271,-1.122399591909971,1.1394273446742735,-0.4851313867857186
57,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Oshkosh,"Rindfleisch,Logan",0,G,25,12.92,3.8,2.52,0.76,0.48,0.2,0.52,-2.194275659203504,-0.9123798569372572,-0.49253777104498453,-0.5771330704417936,-0.6106672551729022,-0.2562280084129333,-1.015876594380841
58,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Eau Claire,"Haney,Tyler",0,G,24,16.25,4.42,1.21,0.71,0.5,0.04,0.2083333333333333,-2.262898526238043,-0.780762113723314,-1.2322478903536018,-0.6320911459663423,-0.5594940214991954,-0.6856604247474586,-1.5328003121948404
59,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Stout,"Stoik,Mason",0,G,26,20.615384615384617,5.0,1.88,0.92,0.62,0.08,0.8846153846153846,-2.280376607567918,-0.6576358378134962,-0.8539228675011029,-0.40126722876323795,-0.252454619456954,-0.5783023206638273,-0.41113325688062946
60,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Eau Claire,"Hoel,Henry",0,F,10,12.2,5.5,3.9,0.3,0.3,0.1,1.0,-2.2823367455178545,-0.5514924965119291,0.28669884318852057,-1.0827473652676411,-1.0712263582362642,-0.5246232686220116,-0.21975878298815738
61,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-La Crosse,"Ferge,Sam",0,G,17,21.058823529411764,5.24,1.65,0.59,0.71,0.0,0.8235294117647058,-2.4344618571324026,-0.6066870339887439,-0.9837956365400204,-0.7639905272252591,-0.022175067925273097,-0.7930185288310899,-0.5124491548237029
62,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Eau Claire,"Reder,Luke",0,F,24,10.375,5.08,1.92,0.5,0.13,0.0,0.2916666666666667,-2.5012221150499636,-0.6406529032052455,-0.8313362989725955,-0.8629150631694466,-1.5061988444627727,-0.7930185288310899,-1.3945854143836105
63,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Oshkosh,"Imig,Matt",0,G,26,14.307692307692308,3.31,1.15,2.27,0.46,0.0,0.8846153846153846,-2.559792419082682,-1.0164003314127927,-1.266127743146363,1.0826008103995755,-0.6618404888466091,-0.7930185288310899,-0.41113325688062946
64,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Oshkosh,"Dante,Vitorio",0,F,24,10.0,3.29,2.83,0.17,0.33,0.25,0.4583333333333333,-2.7852072367442027,-1.0206460650648557,-0.3174918649490522,-1.2256383616314677,-0.9944665077257038,-0.12203037830839422,-1.118155618761151
65,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Whitewater,"Teague-Johnson,Tyshawn",0,F,16,11.375,4.5,2.19,0.25,0.13,0.31,0.625,-2.8593814145801852,-0.7637791791150632,-0.6788769614051706,-1.1377054407921898,-1.5061988444627727,0.03900677781705273,-0.8417258231386914
66,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-River Falls,"Tengblad,Drew",0,F,24,11.833333333333334,3.75,1.54,0.33,0.5,0.21,0.5416666666666666,-2.9234539112829303,-0.9229941910674139,-1.0459086999934157,-1.0497725199529118,-0.5594940214991954,-0.22938848239202556,-0.9799407209499212
67,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Stout,"Johnson,Gavin",0,G,20,10.85,4.05,1.25,0.4,0.4,0.15,0.5,-3.010015526111666,-0.8593081862864737,-1.2096613218250944,-0.9728312142185438,-0.8153601898677297,-0.3904256385174725,-1.049048169855536
68,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Whitewater,"Lukenbill,JR",0,F,24,12.666666666666666,2.75,1.63,0.63,0.42,0.17,0.5416666666666666,-3.237655033242925,-1.135280873670548,-0.9950889208042741,-0.7200240668056201,-0.7641869561940229,-0.3367465864756568,-0.9799407209499212
69,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-La Crosse,"Bauer,Carson",0,G,27,17.925925925925927,3.56,2.0,0.15,0.33,0.15,0.5555555555555556,-3.2772287985569744,-0.9633286607620093,-0.7861631619155807,-1.2476215918412872,-0.9944665077257038,-0.3904256385174725,-0.9569049046480496
70,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Whitewater,"McEwen,Kelton",0,G,26,10.923076923076923,3.77,0.35,0.54,0.27,0.04,0.2692307692307692,-3.384647938991882,-0.9187484574153513,-1.7178591137165107,-0.8189486027498076,-1.1479862087468244,-0.6856604247474586,-1.4317971176404802
71,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Platteville,"MacKenzie,Kaden",0,G,16,19.375,3.31,1.88,1.44,0.25,0.13,1.375,-3.6547376126117213,-1.0164003314127927,-0.8539228675011029,0.17029675669206784,-1.1991594424205314,-0.44410469055928814,0.4022082571623766
72,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-La Crosse,"Schroeder,Eli",0,G,22,10.272727272727272,3.41,0.86,0.32,0.27,0.05,0.4090909090909091,-3.677335583365249,-0.9951716631524794,-1.4298803649780416,-1.0607641350578216,-1.1479862087468244,-0.6588208987265508,-1.1998280583768774
73,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-La Crosse,"Goedheer,Ben",0,F,18,10.055555555555555,2.83,1.61,0.17,0.22,0.0,0.5,-3.9942406498112537,-1.1182979390622974,-1.0063822050685278,-1.2256383616314677,-1.2759192929310919,-0.7930185288310899,-1.049048169855536
74,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Stout,"Leuzinger,Carson",0,G,21,10.142857142857142,1.43,0.86,0.76,0.29,0.0,0.4761904761904761,-4.309993233632363,-1.4154992947066851,-1.4298803649780416,-0.5771330704417936,-1.0968129750731177,-0.7930185288310899,-1.0885381406587449
75,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-River Falls,"Variano,Brody",0,G,16,12.8125,4.06,1.25,0.5,0.06,0.0,1.4375,-4.80903149840962,-0.8571853194604424,-1.2096613218250944,-0.8629150631694466,-1.685305162320747,-0.7930185288310899,0.505869430520799
