season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,shot_stats,goal_stats,caution_stats,misc_stats,composite_score,global_rank,rating
2026-27,wsoc,Liberty League (LL),ll,Vassar,"Hart, Lucy",Lucy,Hart,,737,"Hart, Lucy","HART,LUCY",Vassar,VC,1065-4246,2,2,4,0,4,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,2,0,0,0,1.00,.00,.00,.00,0,,107:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.4872308442510056,170,68
2026-27,wsoc,Liberty League (LL),ll,William Smith,"Hester, Gianna",Gianna,Hester,,30073,"Hester, Gianna","HESTER,GIANNA",William Smith,WSC,1059-8510,2,0,21,0,21,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,51:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.4872308442510056,171,68
2026-27,wsoc,Liberty League (LL),ll,William Smith,"Hughes, Cameron",Cameron,Hughes,,30073,"Hughes, Cameron","HUGHES,CAMERON",William Smith,WSC,1059-9555,2,0,12,0,12,0,0,0,1,0,0,0,0,0,.50,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,56:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.4872308442510056,172,68
2026-27,wsoc,Liberty League (LL),ll,RPI,"Humphrey, Delayna",Delayna,Humphrey,,570,"Humphrey, Delayna","HUMPHREY,DELAYNA",RPI,RPI,1060-7195,0,0,14,0,14,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.4872308442510056,173,67
2026-27,wsoc,Liberty League (LL),ll,Clarkson,"Irvin, Riley",Riley,Irvin,,146,"Irvin, Riley","IRVIN,RILEY",Clarkson,CLK,1057-4974,3,3,10,0,10,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,270:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.4872308442510056,174,67
2026-27,wsoc,Liberty League (LL),ll,Vassar,"Ivie, Liv",Liv,Ivie,,737,"Ivie, Liv","IVIE,LIV",Vassar,VC,1065-4243,0,0,22,0,22,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.4872308442510056,175,67
2026-27,wsoc,Liberty League (LL),ll,Clarkson,"Jakubek, Madison",Madison,Jakubek,,146,"Jakubek, Madison","JAKUBEK,MADISON",Clarkson,CLK,1057-5468,0,0,16,0,16,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.4872308442510056,176,67
2026-27,wsoc,Liberty League (LL),ll,RIT,"Joffe, Nicole",Nicole,Joffe,,580,"Joffe, Nicole","JOFFE,NICOLE",RIT,RIT,1008-11324,1,0,23,0,23,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,09:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.4872308442510056,177,67
2026-27,wsoc,Liberty League (LL),ll,St. Lawrence,"Johnson, Madeline",Madeline,Johnson,,607,"Johnson, Madeline","JOHNSON,MADELINE",St. Lawrence,SLU,1062-11671,2,0,15,0,15,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,68:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.4872308442510056,178,67
2026-27,wsoc,Liberty League (LL),ll,Union,Julia Bancheri,Julia,Bancheri,,727,Julia Bancheri,"BANCHERI,JULIA",Union,UNION (N,1064-9592,1,0,34,0,34,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,24:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.4872308442510056,179,66
