season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goal_stats,penalty_stats,misc_stats,shot_stats,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Mount Union,Anna Weinel,Anna,Weinel,,452,Anna Weinel,"WEINEL,ANNA",WEINELANNAMOUNT UN,16,8,,,Mount Union,MOUNT UN,1279-5114,0,0,0,0,0,0,8,0,3,0,0,0,0,4,1,0,0,0,0,0,0,2,0,14,15,9,11,491:00,73,2,1.000,,19,27,3,17,2,15,.704,1.06,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Mount Union,Megan Carr,Megan,Carr,,452,Megan Carr,"CARR,MEGAN",CARRMEGANMOUNT UN,5,0,,,Mount Union,MOUNT UN,1279-5116,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,1,7,1,21:00,31,0,1.000,,0,3,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Mount Union,Abby Reagan,Abby,Reagan,,452,Abby Reagan,"REAGAN,ABBY",REAGANABBYMOUNT UN,14,11,,,Mount Union,MOUNT UN,1279-4685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,19,5,694:00,142,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,14,596:30,98,91,0,7,3,0,4,0,0,247,9.86,.481
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Mount Union,Payton Infantino,Payton,Infantino,,452,Payton Infantino,"INFANTINO,PAYTON",INFANTINOPAYTONMOUNT UN,13,10,,,Mount Union,MOUNT UN,1279-5861,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,11,1,8,6,600:00,0,0,1.000,,0,0,0,1,1,0,.000,0.08,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Mount Union,Dalyn Jaskolka,Dalyn,Jaskolka,,452,Dalyn Jaskolka,"JASKOLKA,DALYN",JASKOLKADALYNMOUNT UN,2,0,,,Mount Union,MOUNT UN,1279-5117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,00:00,0,0,1.000,,1,2,0,0,0,0,.500,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Mount Union,Kaitlyn Kuczinski,Kaitlyn,Kuczinski,,452,Kaitlyn Kuczinski,"KUCZINSKI,KAITLYN",KUCZINSKIKAITLYNMOUNT UN,12,7,,,Mount Union,MOUNT UN,1279-5860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,8,5,371:00,70,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,12,472:02,79,50,0,5,3,0,5,0,0,181,10.04,.388
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Mount Union,Sophie Graves,Sophie,Graves,,452,Sophie Graves,"GRAVES,SOPHIE",GRAVESSOPHIEMOUNT UN,8,2,,,Mount Union,MOUNT UN,1279-5112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,6,120:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Mount Union,Aliza Very,Aliza,Very,,452,Aliza Very,"VERY,ALIZA",VERYALIZAMOUNT UN,13,2,,,Mount Union,MOUNT UN,1279-5862,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,1,129:00,47,0,1.000,,6,13,2,9,3,6,.462,0.69,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Mount Union,Abby Harps,Abby,Harps,,452,Abby Harps,"HARPS,ABBY",HARPSABBYMOUNT UN,5,0,,,Mount Union,MOUNT UN,1279-5863,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11:00,57,0,1.000,,3,8,1,5,2,3,.375,1.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Mount Union,Olivia Bardescheski,Olivia,Bardescheski,,452,Olivia Bardescheski,"BARDESCHESKI,OLIVIA",BARDESCHESKIOLIVIAMOUNT UN,10,1,,,Mount Union,MOUNT UN,1279-5865,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,2,2,64:00,47,0,1.000,,9,10,0,12,3,9,.900,1.20,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Mount Union,Celia Damiani,Celia,Damiani,,452,Celia Damiani,"DAMIANI,CELIA",DAMIANICELIAMOUNT UN,11,7,,,Mount Union,MOUNT UN,1279-4678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,379:00,80,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Mount Union,Mackenzie Brown,Mackenzie,Brown,,452,Mackenzie Brown,"BROWN,MACKENZIE",BROWNMACKENZIEMOUNT UN,18,11,,,Mount Union,MOUNT UN,1279-5866,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,14,4,19,8,650:00,13,0,1.000,,16,26,0,19,8,11,.615,1.06,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Mount Union,Ruby Robatin,Ruby,Robatin,,452,Ruby Robatin,"ROBATIN,RUBY",ROBATINRUBYMOUNT UN,9,2,,,Mount Union,MOUNT UN,1279-5065,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,136:00,25,0,1.000,,2,2,0,5,3,2,1.000,0.56,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Mount Union,Maitland Fuentes,Maitland,Fuentes,,452,Maitland Fuentes,"FUENTES,MAITLAND",FUENTESMAITLANDMOUNT UN,10,1,,,Mount Union,MOUNT UN,1279-5867,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,3,3,3,60:00,0,0,1.000,,2,5,1,3,2,1,.400,0.30,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Mount Union,Chloe Banno,Chloe,Banno,,452,Chloe Banno,"BANNO,CHLOE",BANNOCHLOEMOUNT UN,4,0,,,Mount Union,MOUNT UN,1279-5113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,10:00,1,0,1.000,,4,5,0,4,1,3,.800,1.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,Ohio Athletic Conference (OAC),oac,Mount Union,Ella Nejad,Ella,Nejad,,452,Ella Nejad,"NEJAD,ELLA",NEJADELLAMOUNT UN,18,18,,,Mount Union,MOUNT UN,1279-4679,0,3,0,0,0,2,13,0,12,3,0,0,0,5,0,0,0,0,0,0,0,0,0,19,65,21,16,1029:00,79,0,1.000,,60,83,5,58,18,40,.723,3.22,,,,,,,,,,,,,,,,,,
