season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,goal_stats,penalty_stats,misc_stats,shot_stats,composite_score,global_rank,rating
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,Lucy Harrell,Lucy,Harrell,,286,Lucy Harrell,"HARRELL,LUCY",HARRELLLUCYHOPE,19,1,,,Hope,HOPE,1087-3994,0,5,0,0,0,1,13,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,19,9,14,7,60:00,0,0,1.000,,26,30,6,20,3,17,.867,1.05,,,,,,,,,,,,,,,,,,,0.771794842188133,47,86
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Albion,Abbey Scott,Abbey,Scott,,15,Abbey Scott,"SCOTT,ABBEY",SCOTTABBEYALBION,15,15,,,Albion,ALBION,1084-4162,0,1,0,0,0,2,18,1,4,0,0,0,0,3,1,0,0,0,0,0,0,0,0,10,0,19,2,904:00,31,0,1.000,,38,61,5,27,2,25,.623,1.80,,,,,,,,,,,,,,,,,,,0.7095389498260567,48,85
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Saint Mary's,Kelsey King,Kelsey,King,,8688,Kelsey King,"KING,KELSEY",KINGKELSEYST. MARY,14,14,,,Saint Mary's,ST. MARY,1090-198,0,1,0,0,0,1,4,1,6,1,0,0,0,4,0,0,0,0,0,0,0,0,0,18,3,22,5,602:00,113,0,1.000,,28,32,4,20,3,17,.875,1.43,,,,,,,,,,,,,,,,,,,0.5520338949340612,49,85
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Calvin,Hannah Rizzo,Hannah,Rizzo,,114,Hannah Rizzo,"RIZZO,HANNAH",RIZZOHANNAHCALVIN,19,19,,,Calvin,CALVIN,1086-2354,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57,1,18,3,1122:00,50,0,1.000,,0,0,0,0,0,0,.000,0.00,19,1002:44,186,172,0,6,6,0,0,0,0,472,11.13,.480,,,,,0.462601489313622,50,85
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Trine,Sydney Strolberg,Sydney,Strolberg,,30037,Sydney Strolberg,"STROLBERG,SYDNEY",STROLBERGSYDNEYTRINE,14,14,,,Trine,TRINE,1091-4853,0,3,0,0,0,0,5,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,14,12,13,9,821:00,49,0,1.000,,21,28,6,17,6,11,.750,1.21,,,,,,,,,,,,,,,,,,,0.46048449555078685,51,85
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Calvin,Natalie Scott,Natalie,Scott,,114,Natalie Scott,"SCOTT,NATALIE",SCOTTNATALIECALVIN,19,19,,,Calvin,CALVIN,1086-2029,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,27,4,10,28,1135:00,61,0,1.000,,0,1,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,,0.4379906782220251,52,84
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Alma,Makenna Pobocik,Makenna,Pobocik,,21,Makenna Pobocik,"POBOCIK,MAKENNA",POBOCIKMAKENNAALMA,12,12,,,Alma,ALMA,1085-3176,0,0,0,0,0,0,6,1,3,0,0,0,0,8,1,0,0,0,0,0,0,0,0,17,14,20,12,720:00,0,0,1.000,,20,30,2,12,4,8,.667,1.00,,,,,,,,,,,,,,,,,,,0.18286931578546206,53,84
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Trine,Hayden Dahlinger,Hayden,Dahlinger,,30037,Hayden Dahlinger,"DAHLINGER,HAYDEN",DAHLINGERHAYDENTRINE,13,12,,,Trine,TRINE,1091-5313,0,3,0,0,0,0,9,0,1,1,0,0,0,5,2,0,0,0,0,0,0,0,0,11,3,16,2,716:00,49,0,1.000,,19,37,5,20,7,13,.514,1.54,,,,,,,,,,,,,,,,,,,0.11534415421417371,54,84
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Saint Mary's,Maura Ryan,Maura,Ryan,,8688,Maura Ryan,"RYAN,MAURA",RYANMAURAST. MARY,3,1,,,Saint Mary's,ST. MARY,1090-541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,45:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,2,67:13,3,9,0,2,0,0,0,0,0,16,2.68,.750,,,,,0.07214488349808079,55,83
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Kalamazoo,Mackenzie Newhall,Mackenzie,Newhall,,326,Mackenzie Newhall,"NEWHALL,MACKENZIE",NEWHALLMACKENZIEKALAMAZO,19,19,,,Kalamazoo,KALAMAZO,1088-1871,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,37,4,11,18,1126:00,23,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,,0.06340724425619926,56,83
