conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,z_per_set_stats_points,z_per_set_stats_kills,z_per_set_stats_assists,z_per_set_stats_blocks,z_per_set_stats_aces,z_per_set_stats_digs,z_attack_stats_errors,z_serve_stats_errors,composite_score,rank,rating
mwc,Midwest Conference (MWC),2025-26,wvball,Illinois Col.,"Klaas, Delani",0,,2,107,38,0.119,707.0,163.0,247.0,9.0,0.0,59.0,0.0,24.0,30.0,175.0,0.0,0.0,294.0,31.0,107.0,17.0,7.0,13.0,4.0,281.5,1.0,2.31,0.08,1.0,0.16,0.22,2.63,1.6120584191712062,1.6907439637783592,-0.3821472187547347,0.0029148226631313247,0.4682799217187577,-0.17171505544366272,2.9595785875706477,1.228999065899194,2.166390250995157,26,75
mwc,Midwest Conference (MWC),2025-26,wvball,Monmouth (IL),"Woodard, Bri",0,,21,47,14,0.254,236.0,30.0,90.0,2.0,0.0,24.0,0.0,2.0,3.0,12.0,0.0,0.0,4.0,0.0,36.0,19.0,0.0,18.0,1.0,102.0,1.0,1.91,0.04,0.77,0.4,0.04,2.17,1.1512856579488893,1.2503350663989024,-0.4085845402932233,1.0872288533479908,-0.7347596561774978,-0.38464172419380444,-0.09050040093044572,-0.6881251070796575,2.1468657109406775,27,75
mwc,Midwest Conference (MWC),2025-26,wvball,Lake Forest,"Van Stone, Ireland",0,,20,71,27,0.053,566.0,104.0,134.0,4.0,8.0,83.0,0.0,19.0,13.0,194.0,0.0,0.0,343.0,29.0,136.0,11.0,8.0,9.0,2.0,159.5,1.0,1.89,0.06,1.92,0.15,0.27,2.25,1.2314200512049445,1.2283146215299294,-0.39536587952397895,-0.04226492861540452,0.8024575822454955,0.6799916195569041,1.606536028761892,0.021920882912509813,2.1232014001505934,28,74
mwc,Midwest Conference (MWC),2025-26,wvball,Illinois Col.,"Kaiser, Laura",0,,12,106,48,0.275,378.0,60.0,164.0,11.0,3.0,53.0,0.0,6.0,5.0,81.0,0.0,0.0,11.0,0.0,41.0,71.0,10.0,55.0,16.0,213.5,1.0,1.55,0.1,0.39,0.67,0.06,2.01,0.9910168714367787,0.8539670587573915,-0.36892855798549035,2.307082137868458,-0.6010885919668029,-0.7364336116940385,0.5974873408367183,-0.546115909081224,2.116944735616175,29,74
mwc,Midwest Conference (MWC),2025-26,wvball,Cornell College,"Nottestad, Ashlin",0,,13,107,54,0.181,784.0,125.0,267.0,3.0,4.0,46.0,0.0,0.0,1.0,5.0,0.0,0.0,66.0,9.0,58.0,22.0,3.0,21.0,1.0,278.5,0.0,2.5,0.03,0.54,0.21,0.0,2.6,1.5820080217001857,1.8999381900336012,-0.41519387067784547,0.2288135790558103,-1.002101784598888,-0.5975683929439461,2.088127447998907,-0.8301343050780908,2.0824041696807503,30,73
mwc,Midwest Conference (MWC),2025-26,wvball,Grinnell,"Smith, Kylie-Ann",0,,1,99,33,0.063,96.0,3.0,9.0,664.0,15.0,1851.0,0.0,38.0,39.0,334.0,0.0,0.0,5.0,0.0,246.0,8.0,0.0,7.0,1.0,51.5,2.0,0.09,6.71,2.48,0.08,0.38,0.52,-0.5014862029572482,-0.7535254166776253,3.9998388262497615,-0.3585231875651551,1.5376484354043183,1.1984217695572492,-0.7096893685208934,1.8680404568921447,1.9861338102339348,31,73
mwc,Midwest Conference (MWC),2025-26,wvball,Knox,"Jabor Jahn, Maria",0,,20,90,50,0.095,643.0,110.0,171.0,7.0,8.0,91.0,0.0,12.0,18.0,150.0,0.0,0.0,131.0,12.0,94.0,32.0,2.0,23.0,9.0,203.5,1.0,1.9,0.08,1.04,0.36,0.13,2.26,1.241436850361951,1.239324843964416,-0.3821472187547347,0.9065098482338474,-0.1332398672293701,-0.13468433044363806,1.7441335771153248,0.3769438779085934,1.9833751856809851,32,73
mwc,Midwest Conference (MWC),2025-26,wvball,Monmouth (IL),"Teunis, Melina",0,,3,101,37,0.174,328.0,48.0,105.0,5.0,2.0,46.0,0.0,9.0,9.0,95.0,0.0,0.0,7.0,2.0,39.0,85.0,9.0,67.0,18.0,165.5,4.0,1.04,0.05,0.39,0.84,0.09,1.64,0.6203953026275237,0.2924457145985843,-0.40197520990860114,3.075137909603566,-0.4005819956507603,-0.7364336116940385,0.3222922441298527,-0.2620975130843571,1.7681458044616645,33,72
mwc,Midwest Conference (MWC),2025-26,wvball,Knox,"Haddon, Elle",0,,5,87,55,0.098,656.0,111.0,175.0,6.0,9.0,95.0,0.0,9.0,27.0,98.0,0.0,0.0,284.0,27.0,110.0,19.0,0.0,14.0,5.0,196.0,1.0,2.01,0.07,1.26,0.22,0.1,2.25,1.2314200512049445,1.3604372907437665,-0.38875654913935676,0.27399333033434614,-0.3337464635454127,0.06898465705649748,1.7670665018408969,1.015985268901544,1.6522483710711422,34,72
mwc,Midwest Conference (MWC),2025-26,wvball,Lawrence,"Schmall, Annaliesse",0,,7,53,25,0.144,369.0,68.0,121.0,4.0,2.0,37.0,0.0,0.0,1.0,1.0,0.0,0.0,44.0,4.0,32.0,5.0,0.0,5.0,0.0,123.5,0.0,2.28,0.08,0.6,0.09,0.0,2.33,1.3115544444609997,1.6577132964748997,-0.3821472187547347,-0.31334343628661937,-1.002101784598888,-0.5420223054439092,0.7809507386412954,-0.8301343050780908,1.642242024823787,35,71
