conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,composite_score,rank,rating,global_rank
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Muskingum,Justin White,,,,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,00:00,0.0,0.0,1.0,4.0,52:30,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3.43,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5972233548788571,165,57,4528
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Ohio Northern,Luke Dittus,,,,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,00:00,0.0,2.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6041586216238708,166,57,4572
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Baldwin Wallace,Gavin Flak,,,,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,14.0,4.0,16.0,0.0,10.0,9.0,43:00,45.0,18.0,1.0,,,,,,,,,,,,,,,1.0,7.0,0.0,3.0,2.0,1.0,0.143,-0.6067200507438738,167,57,4616
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Baldwin Wallace,Ryan Yanssens,,,,7,1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,60:00,0.0,0.0,1.0,,,,,,,,,,,,,,,8.0,11.0,0.0,6.0,1.0,5.0,0.727,-0.6081917424626426,168,57,4154
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Capital,Landon Weihl,,,,6,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,2.0,60:00,0.0,0.0,1.0,,,,,,,,,,,,,,,8.0,13.0,0.0,4.0,0.0,4.0,0.615,-0.6084388500851846,169,57,4272
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Marietta,Alan Schwab,,,,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,3.0,13.0,958:00,95.0,0.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6099755326252065,170,56,4687
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Capital,Christian Akins,,,,6,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,00:00,0.0,0.0,1.0,,,,,,,,,,,,,,,6.0,8.0,0.0,4.0,1.0,3.0,0.75,-0.6106388984314522,171,56,4305
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Otterbein,Evan Crowe,,,,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,00:00,0.0,0.0,1.0,,,,,,,,,,,,,,,2.0,6.0,0.0,0.0,0.0,0.0,0.333,-0.6145829190386769,172,56,4622
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Capital,Jonathan Hart,,,,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,00:00,0.0,0.0,1.0,,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,0.0,0.0,0.5,-0.6215181857836906,173,56,4646
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Baldwin Wallace,Samuel LoPiccolo,,,,17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48.0,0.0,18.0,11.0,1019:00,47.0,0.0,1.0,17.0,824:27,153.0,148.0,0.0,11.0,5.0,0.0,2.0,0.0,0.0,521.0,11.13,0.492,1.0,1.0,0.0,1.0,1.0,0.0,1.0,-0.6223846422305643,174,56,4831
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Capital,Tyler Lieu,,,,15,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,51.0,46.0,0.0,5.0,0.0,00:00,0.0,134.0,1.0,,,,,,,,,,,,,,,8.0,10.0,0.0,2.0,0.0,2.0,0.8,-0.6246918046346416,175,56,4345
