conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,composite_score,rank,rating,global_rank
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Colby,Brooks Rayment,,,,12,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,5.0,4.0,540:00,53.0,0.0,1.0,,,,,,,,,,,,,,,4.0,4.0,0.0,7.0,4.0,3.0,1.0,0.3110051841060235,127,72,1991
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Bowdoin,Avery Kirby,,,,20,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,5.0,6.0,00:00,0.0,0.0,1.0,,,,,,,,,,,,,,,4.0,11.0,0.0,6.0,4.0,2.0,0.364,0.3104793568526414,128,72,2013
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Bates,Jack Markert,,,,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,00:00,0.0,0.0,1.0,,,,,,,,,,,,,,,13.0,22.0,0.0,8.0,2.0,6.0,0.591,0.2945956819846415,129,72,2021
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Trinity,Ethan Cobb,,,,16,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,2.0,60:00,24.0,0.0,1.0,,,,,,,,,,,,,,,5.0,8.0,0.0,9.0,6.0,3.0,0.625,0.27805901744361716,130,72,1972
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Middlebury,Will Spehr,,,,14,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0,0.0,7.0,12.0,842:00,4.0,0.0,1.0,,,,,,,,,,,,,,,3.0,3.0,0.0,5.0,3.0,2.0,1.0,0.25010819930149153,131,72,2090
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Bowdoin,Ryan Winters,,,,16,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,1.0,00:00,0.0,0.0,1.0,,,,,,,,,,,,,,,18.0,30.0,0.0,9.0,1.0,8.0,0.6,0.24997517354711846,132,72,2032
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Bowdoin,Michael Norton,,,,20,0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,8.0,2.0,00:00,0.0,1.0,1.0,,,,,,,,,,,,,,,25.0,40.0,0.0,11.0,0.0,11.0,0.625,0.22741565369318703,133,72,1982
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Tufts,Ben Clarke,,,,23,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,4.0,13.0,60:00,0.0,0.0,1.0,,,,,,,,,,,,,,,5.0,10.0,0.0,2.0,1.0,1.0,0.5,0.20584637206083256,134,72,2340
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Tufts,Chase Beyer,,,,20,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,00:00,0.0,0.0,1.0,,,,,,,,,,,,,,,17.0,31.0,0.0,9.0,6.0,3.0,0.548,0.1853381490478553,135,72,2062
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Amherst,Ben Bruno,,,,17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,41.0,0.0,11.0,12.0,1043:00,20.0,0.0,1.0,,,,,,,,,,,,,,,2.0,5.0,0.0,3.0,3.0,0.0,0.4,0.1848405275198799,136,72,2294
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Trinity,Hayden Shin,,,,16,16,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,147.0,151.0,75.0,0.0,13.0,1.0,950:00,77.0,298.0,1.0,,,,,,,,,,,,,,,3.0,12.0,0.0,4.0,2.0,2.0,0.25,0.18182821402249444,137,71,2130
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Williams,Ian Kim,,,,17,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,148.0,137.0,72.0,0.0,8.0,2.0,00:00,0.0,285.0,1.0,,,,,,,,,,,,,,,5.0,11.0,0.0,2.0,1.0,1.0,0.455,0.124637304656563,138,71,2415
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Tufts,Ethan O'Neill,,,,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,7.0,9.0,00:00,0.0,0.0,1.0,,,,,,,,,,,,,,,4.0,11.0,0.0,5.0,1.0,4.0,0.364,0.12307359264567078,139,71,2339
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Williams,Jack Sartorius,,,,12,6,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,7.0,1.0,360:00,0.0,0.0,1.0,,,,,,,,,,,,,,,15.0,36.0,0.0,9.0,3.0,6.0,0.417,0.12191677684296998,140,71,2123
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Williams,Tucker Graham,,,,17,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,7.0,8.0,60:00,0.0,0.0,1.0,,,,,,,,,,,,,,,3.0,9.0,0.0,4.0,2.0,2.0,0.333,0.11363496721442162,141,71,2377
