conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,composite_score,global_rank,rating
ccc,Conference of New England (CCC),2025-26,whky,Curry College,"Robles, Sophia",,0,5,24,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00:00,0,0,0,0,0,0,0,5.0,3.0,8.0,0.625,0.6,5.0,5.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,11,94
ccc,Conference of New England (CCC),2025-26,whky,Curry College,"Ganter, Reilly",,0,6,18,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00:00,0,0,0,0,0,0,0,4.0,6.0,10.0,0.4,1.5,6.0,4.0,2.0,3.0,0.0,13.0,2.0,1.0,1.0,0.08,0.0,0.0,,,,,,,,,,,,,,,,,,,12,94
ccc,Conference of New England (CCC),2025-26,whky,Curry College,"Oxman, Margot",,0,8,24,1,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7,14:00,0,0,0,0,0,0,7,16.0,21.0,37.0,0.432,1.31,5.0,11.0,-6.0,5.0,0.0,34.0,3.0,1.0,2.0,0.06,0.0,0.0,,,,,,,,,,,,,,,,,,,13,93
ccc,Conference of New England (CCC),2025-26,whky,Curry College,"Mardesich, Bella",,0,9,26,22,0.0,,0.0,0.0,1.0,5.0,4.0,0.0,1.0,2.0,0.0,5,10:00,0,0,0,0,0,0,5,25.0,27.0,52.0,0.481,1.08,22.0,17.0,5.0,8.0,0.0,158.0,17.0,4.0,13.0,0.08,0.0,0.0,,,,,,,,,,,,,,,,,,,14,93
ccc,Conference of New England (CCC),2025-26,whky,Curry College,"McIntyre, Kailyn",,0,10,21,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,08:00,0,0,0,0,0,0,4,11.0,12.0,23.0,0.478,1.09,9.0,7.0,2.0,4.0,0.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,15,93
ccc,Conference of New England (CCC),2025-26,whky,Curry College,"Kahl, Anna",,0,11,26,5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,18:00,0,0,0,0,0,0,9,0.0,6.0,6.0,0.0,0.0,11.0,5.0,6.0,25.0,0.0,19.0,3.0,2.0,1.0,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,16,93
ccc,Conference of New England (CCC),2025-26,whky,Curry College,"Rowe Smiley, Eleanor",,0,13,19,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,06:00,0,0,0,0,0,0,3,2.0,5.0,7.0,0.286,2.5,3.0,7.0,-4.0,0.0,0.0,16.0,3.0,2.0,1.0,0.06,0.0,0.0,,,,,,,,,,,,,,,,,,,17,92
ccc,Conference of New England (CCC),2025-26,whky,Curry College,"Sawatzky, Megan",,0,14,26,8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00:00,0,0,0,0,0,0,0,2.0,7.0,9.0,0.222,3.5,12.0,16.0,-4.0,22.0,0.0,38.0,7.0,7.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,18,92
ccc,Conference of New England (CCC),2025-26,whky,Curry College,"Nash, Tommi",,0,16,26,7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,10:00,0,0,0,0,0,0,5,10.0,16.0,26.0,0.385,1.6,10.0,17.0,-7.0,10.0,0.0,48.0,5.0,4.0,1.0,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,19,92
ccc,Conference of New England (CCC),2025-26,whky,Curry College,"Marshall, Darby",,0,17,26,15,0.0,,0.0,0.0,0.0,3.0,3.0,0.0,3.0,2.0,0.0,3,06:00,0,0,0,0,0,0,3,3.0,12.0,15.0,0.2,4.0,14.0,13.0,1.0,13.0,0.0,105.0,15.0,8.0,7.0,0.07,0.0,0.0,,,,,,,,,,,,,,,,,,,20,92
